Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Enterobacteriaceae	543	92.3	17221672	16490601
Aerococcaceae	186827	3.3199999999999994	229429	593162
Enterococcaceae	81852	2.61	256264	466311
Actinomycetaceae	2049	0.47000000000000003	34810	83973
Flavobacteriaceae	49546	0.45000000000000007	49631	80398
Alkalibacillaceae	186817	0.45	41084	80399
Bifidobacteriaceae	31953	0.15	12838	26800
Peptoniphilaceae	1570339	0.12	7835	21441
Streptococcaceae	1300	0.060000000000000005	4799	10721
Propionibacteriaceae	31957	0.03	1868	5360
Mycobacteriaceae	1762	0.02	1599	3574
Xanthobacteraceae	335928	0.01	2757	1787
Staphylococcaceae	90964	0.01	1097	1787
Porphyromonadaceae	171551	0.01	623	1787
