Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Corynebacteriaceae	1653	61672.03	23.395999999999997	66929
Staphylococcaceae	90964	61583.87	23.363	4388
Peptoniphilaceae	1570339	59674.85	22.636999999999997	986508
Veillonellaceae	31977	34465.729999999996	13.075	32956
Actinomycetaceae	2049	14244.619999999999	5.403999999999999	361567
Prevotellaceae	171552	13923.769999999999	5.283	377013
Peptostreptococcaceae	186804	5119.900000000001	1.9420000000000002	31040
Propionibacteriaceae	31957	5016.509999999999	1.903	2531
Tissierellia_u_f	1737404	2205.16	0.8370000000000001	17737
Streptococcaceae	1300	1828.82	0.6940000000000001	4372
Porphyromonadaceae	171551	1684.46	0.639	30821
Campylobacteraceae	72294	1326.74	0.503	8456
Micrococcaceae	1268	464.75	0.17700000000000002	500
Aerococcaceae	186827	149.95	0.056999999999999995	15
Christensenellaceae	990719	143.22	0.054	475
Atopobiaceae	1643824	89.88	0.034	231
