Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium longum	216816	36.5	7169411	7232945
Bifidobacterium dentium	1689	21.64	4585746	4288245
Actinotignum sanguinis	1445614	18.79	3141861	3723481
Prevotella timonensis	386414	4.38	1146981	867953
Lactobacillus crispatus	47770	2.47	438578	489462
Winkia sp002849225	29318	2.21	395313	437940
Finegoldia magna_H	1260	1.73	252402	342822
Corynebacterium pyruviciproducens	598660	1.28	281988	253648
Staphylococcus hominis	1290	0.83	142618	164475
Escherichia coli	562	0.78	316948	154567
Staphylococcus epidermidis	1282	0.72	136500	142677
Peptoniphilus_A harei_A	54005	0.72	106281	142677
Corynebacterium tuberculostearicum	38304	0.62	129470	122861
Corynebacterium tuberculostearicum_C	38304	0.62	119766	122861
Anaerococcus vaginalis_B	33037	0.59	94380	116916
Varibaculum cambriense	184870	0.58	95818	114934
Finegoldia magna	1260	0.37	54244	73320
Lactobacillus paragasseri	2107999	0.35	52648	69357
Peptoniphilus_A lacrimalis	33031	0.35	52032	69357
Prevotella buccalis	28127	0.34	84309	67375
Prevotella bergensis	242750	0.25	68239	49541
Dialister micraerophilus	309120	0.22999999999999998	23077	45577
Bradyrhizobium sp003020075	2057741	0.21	130278	41614
Propionimicrobium lymphophilum	33012	0.17	28730	33688
Anaerococcus vaginimassiliensis	2042308	0.17	23440	33688
Anaerococcus lactolyticus	33032	0.17	27779	33688
Finegoldia magna_F	1260	0.16	25113	31706
Aerococcus urinae_D	1376	0.15	25272	29724
Prevotella sp000479005	28127	0.15	34103	29724
Prevotella colorans	1703337	0.15	34728	29724
Imtechella halotolerans	1165090	0.15	36923	29724
Allobacillus halotolerans	570278	0.14	28503	27743
Prevotella sp900547085	838	0.14	24123	27743
Aerococcus urinae_B	1376	0.1	15524	19816
Bradyrhizobium viridifuturi	1654716	0.1	68126	19816
Bradyrhizobium elkanii	29448	0.09	63886	17835
Peptoniphilus_A vaginalis	54005	0.09	13314	17835
Varibaculum cambriense_A	184870	0.08	14087	15853
Pauljensenia radingae_A	1673722	0.08	15510	15853
Peptoniphilus_A harei	54005	0.07	11185	13871
Anaerococcus jeddahensis	1673719	0.07	10100	13871
Peptoniphilus_C coxii	755172	0.07	10400	13871
Facklamia hominis	178214	0.06	9942	11890
Bradyrhizobium sp002532045	2057741	0.06	44532	11890
Anaerococcus senegalensis	1288120	0.06	8470	11890
Winkia neuii	33007	0.05	9098	9908
Corynebacterium glucuronolyticum	39791	0.05	10271	9908
Cutibacterium acnes	1747	0.05	10961	9908
Eggerthella lenta	84112	0.05	16153	9908
Anaerococcus_u_s	165779	0.05	8521	9908
Anaerococcus octavius	54007	0.05	8332	9908
Varibaculum massiliense	1852372	0.04	8277	7927
Bradyrhizobium pachyrhizi	280333	0.04	31674	7927
Bradyrhizobium septentrionale	1404411	0.04	32175	7927
Peptoniphilus_A grossensis	1465756	0.04	6515	7927
Peptoniphilus_B duerdenii	507750	0.04	6254	7927
Anaerococcus hydrogenalis	33029	0.03	4579	5945
Alloscardovia_u_s	419014	0.02	3596	3963
Corynebacterium_u_s	1716	0.02	4955	3963
Aerococcus sp001809535	119206	0.02	3581	3963
Staphylococcaceae_u_s	90964	0.02	4082	3963
Porphyromonas asaccharolytica	28123	0.02	4419	3963
Klebsiella pneumoniae	573	0.02	4738	3963
Campylobacter_B ureolyticus	827	0.02	2933	3963
Anaerococcus prevotii	33034	0.02	3123	3963
Anaerococcus marasmi	2057797	0.02	3817	3963
Urinicoccus timonensis	2024205	0.02	3458	3963
Corynebacterium amycolatum_A	43765	0.01	1984	1982
Cutibacterium avidum	33010	0.01	1615	1982
Lactobacillus gasseri	1596	0.01	2080	1982
Limosilactobacillus coleohominis_A	181675	0.01	923	1982
Streptococcus sp001811505	1313	0.01	1038	1982
Streptococcus pseudopneumoniae_L	712633	0.01	948	1982
Aerococcus urinae_A	1376	0.01	2358	1982
Porphyromonas uenonis	281920	0.01	2028	1982
Porphyromonas uenonis_A	281920	0.01	1740	1982
Porphyromonas_A sp001808555	1739394	0.01	836	1982
Acinetobacter baumannii	470	0.01	2074	1982
Bradyrhizobium ivorense	2511166	0.01	9036	1982
Campylobacter_B ureolyticus_A	827	0.01	1858	1982
Anaerococcus nagyae	1755241	0.01	843	1982
Peptoniphilus_C pacaensis	1776390	0.01	900	1982
Peptoniphilus_E obesi	1472765	0.01	915	1982
Negativicoccus succinicivorans	620903	0.01	923	1982
