Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium swidsinskii GCA_002884855.1	2702	68.76	568901	655560
Lactobacillus gasseri GCA_002940965.1	1596	4.19	41033	39948
Finegoldia magna_H GCA_000179495.1	768713	2.73	26386	26028
Allobacillus halotolerans GCA_007559355.1	1955271	2.3	31551	21928
Fannyhessea vaginae GCA_000159235.2	525256	2.27	17801	21642
Imtechella halotolerans GCA_000260835.1	946077	2.21	37335	21070
Prevotella bivia GCA_000262545.1	868129	1.9900000000000002	27061	18973
Winkia sp002849225 GCA_000296485.1	888439	1.68	19636	16017
Finegoldia magna GCA_009678325.1	2584649	1.33	13089	12680
Corynebacterium tuberculostearicum GCA_000156615.2	525264	1.09	15070	10392
Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	1.02	13137	9725
Anaerococcus hydrogenalis GCA_000191745.2	879306	0.96	9843	9153
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.8500000000000001	8325	8104
Finegoldia magna_F GCA_000159695.1	525282	0.7	7154	6674
Escherichia coli GCA_016944675.1	562	0.66	17981	6292
Staphylococcus epidermidis	1282	0.54	7074	5148
Peptoniphilus_A harei GCA_001815405.1	1739525	0.48	4833	4576
Negativicoccus succinicivorans GCA_000508525.1	1403945	0.37	2596	3528
Actinobaculum massiliense GCA_000315465.1	883066	0.36	3928	3432
Staphylococcus hominis GCA_001809865.1	1715156	0.32	3579	3051
Bradyrhizobium sp003020075 GCA_000465325.1	1230476	0.31	12536	2956
Pauljensenia turicensis GCA_000296505.1	883077	0.25	2643	2384
Anaerococcus senegalensis GCA_000321005.2	1033733	0.25	2397	2384
Anaerococcus vaginimassiliensis GCA_000191725.2	879305	0.25	2251	2384
Enterococcus faecalis	1351	0.24	3393	2288
Staphylococcus haemolyticus GCA_000261465.1	1134914	0.22999999999999998	2828	2193
Corynebacterium pyruviciproducens GCA_000411375.1	1125779	0.19	2810	1811
Streptococcus sp019448285 GCA_000506725.1	1415765	0.19	1987	1811
Veillonella atypica	39777	0.19	2240	1811
Limosilactobacillus coleohominis_A GCA_000161935.1	575594	0.18	1669	1716
Streptococcus mitis_AV GCA_000722775.1	28037	0.18	2089	1716
Streptococcus mitis_H GCA_000148525.2	585203	0.18	1918	1716
Streptococcus mitis_I GCA_000257865.1	1095736	0.17	1768	1621
Peptoniphilus_A vaginalis GCA_900176605.1	1756987	0.17	1745	1621
Varibaculum cambriense_A GCA_000508625.1	1403948	0.13	1656	1239
Bradyrhizobium viridifuturi GCA_002289535.1	418599	0.13	6331	1239
Veillonella nakazawae GCA_009710825.1	39778	0.13	1478	1239
Actinotignum sanguinis GCA_003957255.1	1445614	0.12	1317	1144
Corynebacterium simulans GCA_001586215.1	146827	0.12	1803	1144
Atopobium deltae GCA_001552785.1	1393034	0.12	955	1144
Streptococcus mitis_L GCA_000257905.1	1095737	0.12	1214	1144
Facklamia hominis GCA_000413455.1	883110	0.12	1245	1144
Anaerococcus jeddahensis GCA_001182725.1	1673719	0.12	1199	1144
Anaerococcus octavius GCA_002847745.1	54007	0.12	1244	1144
Klebsiella pneumoniae	573	0.12	2067	1144
Micrococcus luteus GCA_000632145.1	1270	0.1	1430	953
Bradyrhizobium elkanii	29448	0.08	3363	763
Cutibacterium avidum	33010	0.07	927	667
Allobacillus salarius GCA_007559425.1	1955272	0.07	962	667
Anaerococcus prevotii GCA_000024105.1	525919	0.06	635	572
Anaerococcus marasmi GCA_900290195.1	2057797	0.06	659	572
Anaerococcus provencensis GCA_000312365.2	938293	0.06	759	572
Corynebacterium amycolatum GCA_001807105.1	1581103	0.05	675	477
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.05	490	477
Winkia neuii GCA_001807285.1	1581120	0.04	526	381
Varibaculum cambriense GCA_000420065.1	1123488	0.04	473	381
Lawsonella clevelandensis GCA_001281505.1	1528099	0.03	359	286
Cutibacterium granulosum	33011	0.03	306	286
Peptoniphilus_A lacydonensis	1673725	0.03	303	286
Cutibacterium acnes	1747	0.02	269	191
Blautia_A wexlerae	40520	0.02	454	191
Bradyrhizobium_u_t	374	0.02	1161	191
Ralstonia pickettii_B	329	0.01	352	95
Afipia sp001425835 GCA_001425835.1	1736436	0.01	204	95
