Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillaceae	33958	82.74	4868589	5243385
Mycoplasmoidaceae	2790998	6.63	218941	420155
Enterococcaceae	81852	2.27	282387	143854
Peptoniphilaceae	1570339	1.81	143218	114701
Staphylococcaceae	90964	1.7100000000000002	172516	108366
Lachnospiraceae	186803	1.1900000000000002	171852	75413
Bifidobacteriaceae	31953	0.43	43718	27250
Ruminococcaceae	216572	0.42000000000000004	55065	26615
Mycobacteriaceae	1762	0.4	44084	25349
Bacteroidaceae	815	0.37000000000000005	78468	23449
Alkalibacillaceae	186817	0.36	39564	22814
Flavobacteriaceae	49546	0.33	44487	20913
Coriobacteriaceae	84107	0.26999999999999996	27088	17108
Porphyromonadaceae	171551	0.17	15687	10773
Rikenellaceae	171550	0.13	19408	8239
Aerococcaceae	186827	0.1	7780	6337
Acutalibacteraceae	216572	0.1	10494	6337
Xanthobacteraceae	335928	0.09	34100	5704
Actinomycetaceae	2049	0.06999999999999999	6388	4436
Eggerthellaceae	1643826	0.060000000000000005	8047	3802
Akkermansiaceae	1647988	0.05	6765	3169
Streptococcaceae	1300	0.04	3393	2535
Barnesiellaceae	2005519	0.04	5390	2535
Oscillospiraceae	216572	0.03	3591	1901
Tannerellaceae	2005525	0.03	8209	1901
Desulfovibrionaceae	194924	0.03	4012	1901
Butyricicoccaceae	216572	0.02	1949	1267
Negativicoccaceae	31977	0.02	860	1267
Coprobacillaceae	2810280	0.01	1280	634
Erysipelotrichaceae	128827	0.01	1553	634
Eubacteriaceae	186806	0.01	1935	634
Monoglobaceae	216572	0.01	1529	634
Anaerovoracaceae	186802	0.01	682	634
UBA1381	186801	0.01	1803	634
Marinifilaceae	1573805	0.01	1033	634
Burkholderiaceae_A	995019	0.01	745	634
Campylobacteraceae	72294	0.01	573	634
