Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium	1678	67.39	2617248	2657678
Streptococcus	1301	11.25	348157	443669
Actinotignum	1653174	7.830000000000001	293113	308794
Corynebacterium	1716	4.67	208141	184171
Winkia	2692118	3.44	124045	135664
Bradyrhizobium	374	1.3000000000000003	178533	51267
Allobacillus	1400133	1.06	44360	41803
Imtechella	1165076	1.03	52700	40620
Finegoldia	150022	0.46	13445	18141
Scardovia	196081	0.24	6317	9465
Prevotella	838	0.2	9328	7887
Staphylococcus	1279	0.19	7013	7493
Aerococcus	1375	0.16999999999999998	5507	6704
Peptoniphilus_A	162289	0.15000000000000002	4750	5915
Varibaculum	184869	0.1	3382	3944
Dialister	39948	0.09	1823	3549
Comamonas	283	0.06	6674	2366
Propionimicrobium	203133	0.04	1353	1577
Ralstonia	48736	0.04	3157	1577
Facklamia	66831	0.03	819	1183
Pseudomonas_E	286	0.03	3132	1183
Veillonella	29465	0.03	1027	1183
Meiothermus_B	65551	0.03	1412	1183
Lawsonella	1847725	0.02	580	789
Cutibacterium	1912216	0.02	924	789
Olegusella	1979843	0.02	540	789
Porphyromonas_A	836	0.02	821	789
Methylobacterium	407	0.02	1643	789
Dermabacter	36739	0.01	385	394
Slackia	84108	0.01	488	394
Afipia	1033	0.01	677	394
Agrobacterium	357	0.01	1181	394
Phyllobacterium	28100	0.01	590	394
Anaerococcus	165779	0.01	257	394
Mogibacterium	86331	0.01	205	394
