Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Staphylococcus epidermidis	1282		Bacteria	50.519999999999996	0.950522	0.277372	3307524	2971711
s__Lactobacillus iners	147802		Bacteria	18.85	0.96603	0.203883	666618	1108804
s__Lactobacillus crispatus GCA_009730275.1	47770	GCA_009730275.1	Bacteria	17.51	0.934099	0.041522	1050766	1029981
s__Propionimicrobium lymphophilum GCA_000411175.1	883161	GCA_000411175.1	Bacteria	2.82	0.746239	0.36309	180455	165879
s__Streptococcus anginosus GCA_001812815.1	1739380	GCA_001812815.1	Bacteria	2.54	0.889966	0.236242	137412	149409
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	1.32	0.642604	0.630554	84792	77646
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	1.19	0.310602	0.229464	107201	69999
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	Bacteria	0.72	0.236334	0.134661	63677	42352
s__Prevotella colorans GCA_003096815.1	1703337	GCA_003096815.1	Bacteria	0.49	0.527636	0.482211	39684	28823
s__Finegoldia magna_H GCA_000582635.1	1459804	GCA_000582635.1	Bacteria	0.42	0.479254	0.144776	22218	24705
s__Staphylococcus aureus	1280		Bacteria	0.34	0.051136	0.3	23700	20000
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.34	0.543363	0.503167	17333	20000
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	Bacteria	0.29	0.52066	0.514384	16093	17059
s__Vaginimicrobium propionicum GCA_900155645.1	1871034	GCA_900155645.1	Bacteria	0.22999999999999998	0.315528	0.315141	13224	13529
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.21	0.341278	0.285121	12081	12353
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	0.2	0.402263	0.399184	14115	11764
s__Porphyromonas uenonis_A GCA_000174775.1	596327	GCA_000174775.1	Bacteria	0.2	0.321276	0.296385	11884	11764
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	0.19	0.601844	0.601844	16908	11176
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	Bacteria	0.18	0.31491	0.31575	9397	10588
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	Bacteria	0.09	0.035221	0.021885	7973	5294
s__Prevotella sp000758925 GCA_000758925.1	1284775	GCA_000758925.1	Bacteria	0.08	0.186417	0.053975	6327	4706
s__Campylobacter_B ureolyticus GCA_000597825.1	827	GCA_000597825.1	Bacteria	0.07	0.389026	0.321597	3447	4118
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.07	0.391904	0.273378	3372	4118
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.07	0.108781	0.069	4075	4118
s__Prevotella bivia GCA_000262545.1	868129	GCA_000262545.1	Bacteria	0.06	0.119291	0.119468	4413	3529
s__Varibaculum timonense_A GCA_900120415.1	1870994	GCA_900120415.1	Bacteria	0.06	0.020649	0.013206	3593	3529
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	Bacteria	0.06	0.127377	0.126235	4528	3529
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	Bacteria	0.05	0.031319	0.023024	4265	2941
s__Finegoldia magna GCA_009678265.1	2584653	GCA_009678265.1	Bacteria	0.05	0.073891	0.024243	2354	2941
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	Bacteria	0.05	0.120486	0.035465	2776	2941
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	Bacteria	0.05	0.178785	0.103227	2935	2941
s__Atopobium deltae GCA_001552785.1	1393034	GCA_001552785.1	Bacteria	0.05	0.145361	0.145396	1973	2941
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	Bacteria	0.04	0.027576	0.013561	2289	2353
s__Campylobacter_B ureolyticus_A GCA_000413435.1	883165	GCA_000413435.1	Bacteria	0.04	0.187373	0.078958	1741	2353
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	Bacteria	0.04	0.064077	0.016578	2243	2353
s__Urinicoccus massiliensis GCA_900120405.1	1723382	GCA_900120405.1	Bacteria	0.04	0.090859	0.085838	2293	2353
s__Aerococcus urinae_A GCA_000193205.1	2976812	GCA_000193205.1	Bacteria	0.03	0.095207	0.091549	1692	1765
s__Prevotella sp001552765 GCA_001552765.1	1497954	GCA_001552765.1	Bacteria	0.03	0.006166	0.00497	2912	1765
s__Porphyromonas uenonis GCA_000482365.1	1122976	GCA_000482365.1	Bacteria	0.03	0.11866	0.058043	2188	1765
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	Bacteria	0.03	0.027675	0.027759	1883	1765
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	Bacteria	0.03	0.056047	0.026591	1461	1765
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	Bacteria	0.03	0.057166	0.034571	2109	1765
