ID	Name	Copies per Million (CPM)	Relative Abundance
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	15574.4	1.557440096561287
PWY-7238	sucrose biosynthesis II	12536.7	1.2536700777275458
PWY-5941	glycogen degradation II	10904.3	1.0904300676066647
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	10463.2	1.0463200648718447
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	9940.08	0.9940080616285004
PWY-5695	inosine 5'-phosphate degradation	9597.46	0.9597460595042563
PWY-6608	guanosine nucleotides degradation III	9597.46	0.9597460595042563
PWY0-1477	ethanolamine utilization	8706.35	0.8706350539793739
PWY-7111	pyruvate fermentation to isobutanol (engineered)	8250.59	0.8250590511536617
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	8134.78	0.8134780504356396
PWY-5136	fatty acid β-oxidation II (plant peroxisome)	8042.34	0.8042340498625116
GALACTARDEG-PWY	D-galactarate degradation I	7695.12	0.7695120477097475
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	7695.12	0.7695120477097475
VALSYN-PWY	L-valine biosynthesis	7612.22	0.7612220471957675
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	7596.27	0.7596270470968775
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	7313.25	0.7313250453421533
PWY-8178	pentose phosphate pathway (non-oxidative branch) II	7242.38	0.7242380449027592
PWY-7977	L-methionine biosynthesis IV	7162.15	0.7162150444053331
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	7058.84	0.7058840437648112
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	6944.09	0.6944090430533612
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	6943.58	0.6943580430501991
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	6905.18	0.690518042812119
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	6850.37	0.685037042472297
PWY-6936	seleno-amino acid biosynthesis (plants)	6647.09	0.664709041211961
PWY-4041	γ-glutamyl cycle	6517.8	0.6517800404103629
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	6512.55	0.651255040377813
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	6464.58	0.6464580400803989
PWY-5103	L-isoleucine biosynthesis III	6387.33	0.6387330396014489
CALVIN-PWY	Calvin-Benson-Bassham cycle	6353.12	0.6353120393893469
PENTOSE-P-PWY	pentose phosphate pathway	6237.96	0.6237960386753547
PWY-5667	CDP-diacylglycerol biosynthesis I	6226.91	0.6226910386068447
PWY0-1319	CDP-diacylglycerol biosynthesis II	6226.91	0.6226910386068447
FAO-PWY	fatty acid β-oxidation I (generic)	6022.12	0.6022120373371467
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	6018.39	0.6018390373140208
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	5951.86	0.5951860369015346
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	5928.54	0.5928540367569507
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	5897.41	0.5897410365639446
GLUCARDEG-PWY	D-glucarate degradation I	5890.77	0.5890770365227767
THRESYN-PWY	superpathway of L-threonine biosynthesis	5846.14	0.5846140362460706
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	5751.73	0.5751730356607285
PWY-6353	purine nucleotides degradation II (aerobic)	5735.16	0.5735160355579946
PWY0-1296	purine ribonucleosides degradation	5710.61	0.5710610354057846
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	5660.11	0.5660110350926845
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	5629.18	0.5629180349009185
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	5613.25	0.5613250348021525
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	5610.41	0.5610410347845445
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	5601.7	0.5601700347305425
FUCCAT-PWY	fucose degradation	5514.03	0.5514030341869884
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	5490.98	0.5490980340440784
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	5384.32	0.5384320333827863
ORNDEG-PWY	superpathway of ornithine degradation	5370.69	0.5370690332982804
FERMENTATION-PWY	mixed acid fermentation	5344.57	0.5344570331363364
PWY-5913	partial TCA cycle (obligate autotrophs)	5334.45	0.5334450330735924
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	5323.03	0.5323030330027884
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	5312.94	0.5312940329402304
PWY-1042	glycolysis IV	5309.86	0.5309860329211343
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	5301.26	0.5301260328678145
PWY-3001	superpathway of L-isoleucine biosynthesis I	5300.26	0.5300260328616144
PWY-621	sucrose degradation III (sucrose invertase)	5283.16	0.5283160327555944
PWY-6609	adenine and adenosine salvage III	5257.23	0.5257230325948283
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	5221.64	0.5221640323741703
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	5221.64	0.5221640323741703
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	5130.35	0.5130350318081723
PWY-7953	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	5088.25	0.5088250315471523
TRNA-CHARGING-PWY	tRNA charging	5085.16	0.5085160315279943
GLYOXYLATE-BYPASS	glyoxylate cycle	5070.65	0.5070650314380323
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	5036.25	0.5036250312247522
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	4986.95	0.49869503091909223
