GO ID	GO Category	GO Description	Copies per Million (CPM)	Relative Abundance
GO:0016021	Cellular_Components	integral component of membrane	83389.6	8.366553461501239
GO:0005524	Molecular_Functions	ATP binding	40310.9	4.04442880084843
GO:0003677	Molecular_Functions	DNA binding	31947	3.2052712020993033
GO:0005737	Cellular_Components	cytoplasm	24085.1	2.4164797142042107
GO:0016020	Cellular_Components	membrane	23623.1	2.3701268392748003
GO:0055085	Biological_Processes	transmembrane transport	15672.7	1.572456066896477
GO:0003700	Molecular_Functions	DNA-binding transcription factor activity	15345.5	1.5396277970330503
GO:0016787	Molecular_Functions	hydrolase activity	14649	1.4697473264955299
GO:0016740	Molecular_Functions	transferase activity	13580.7	1.3625638280386267
GO:0022857	Molecular_Functions	transmembrane transporter activity	13506.5	1.3551192753984487
GO:0005886	Cellular_Components	plasma membrane	13319.3	1.336337331271207
GO:0005975	Biological_Processes	carbohydrate metabolic process	12809.4	1.285178606322059
GO:0016491	Molecular_Functions	oxidoreductase activity	12120.1	1.216020518250971
GO:0046872	Molecular_Functions	metal ion binding	11641.9	1.1680422827720873
GO:0006355	Biological_Processes	regulation of transcription, DNA-templated	11172	1.1208967937475636
GO:0016301	Molecular_Functions	kinase activity	8047.52	0.8074149092033113
GO:0016887	Molecular_Functions	ATPase activity	7440.05	0.7464668985250233
GO:0009401	Biological_Processes	phosphoenolpyruvate-dependent sugar phosphotransferase system	6321.34	0.6342257194941124
GO:0016829	Molecular_Functions	lyase activity	5842.29	0.5861622027518307
GO:0043565	Molecular_Functions	sequence-specific DNA binding	5773.26	0.5792363608549105
GO:0030170	Molecular_Functions	pyridoxal phosphate binding	5617.73	0.56363189627099
GO:0003723	Molecular_Functions	RNA binding	5553.44	0.5571816228311376
GO:0003824	Molecular_Functions	catalytic activity	5112.14	0.5129055974927201
GO:0008270	Molecular_Functions	zinc ion binding	4876.67	0.4892806809134381
GO:0006412	Biological_Processes	translation	4834.43	0.48504270377703496
GO:0003676	Molecular_Functions	nucleic acid binding	4816.28	0.4832216979762366
GO:0000287	Molecular_Functions	magnesium ion binding	4808.78	0.4824692162403696
GO:0005840	Cellular_Components	ribosome	4731.37	0.4747026014172404
GO:0003735	Molecular_Functions	structural constituent of ribosome	4564.87	0.4579975068809918
GO:0008168	Molecular_Functions	methyltransferase activity	4401.16	0.4415723355504858
GO:0008982	Molecular_Functions	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	4358.67	0.43730927568955363
GO:0009058	Biological_Processes	biosynthetic process	4138.09	0.41517828618321306
GO:0000160	Biological_Processes	phosphorelay signal transduction system	4012.04	0.4025315764757407
GO:0006281	Biological_Processes	DNA repair	3793.35	0.3805902123668386
GO:0043190	Cellular_Components	ATP-binding cassette (ABC) transporter complex	3702.57	0.3714821734359038
GO:0005887	Cellular_Components	integral component of plasma membrane	3594.14	0.36060329415322845
GO:0051301	Biological_Processes	cell division	3447.97	0.34593792677567015
GO:0005525	Molecular_Functions	GTP binding	3403.51	0.3414772150454503
GO:0006260	Biological_Processes	DNA replication	3319.76	0.3330745023282682
GO:0051539	Molecular_Functions	4 iron, 4 sulfur cluster binding	3289.66	0.3300545422949884
GO:0005215	Molecular_Functions	transporter activity	3187.7	0.31982480392312107
GO:0009055	Molecular_Functions	electron transfer activity	3083.01	0.30932116219939815
GO:0051287	Molecular_Functions	NAD binding	2917.45	0.2927103787073782
GO:0008233	Molecular_Functions	peptidase activity	2835.88	0.28452638734808816
GO:0009279	Cellular_Components	cell outer membrane	2776.99	0.27861790075806
GO:0015074	Biological_Processes	DNA integration	2658.59	0.26673872242117214
GO:0003887	Molecular_Functions	DNA-directed DNA polymerase activity	2562.33	0.2570808701685638
GO:0006313	Biological_Processes	transposition, DNA-mediated	2561.78	0.25702568817460025
GO:0050660	Molecular_Functions	flavin adenine dinucleotide binding	2538.74	0.2547140642820166
GO:0004386	Molecular_Functions	helicase activity	2526.84	0.2535201265944409
GO:0016853	Molecular_Functions	isomerase activity	2479.88	0.248808587618932
GO:0051536	Molecular_Functions	iron-sulfur cluster binding	2457.78	0.24659127477057707
GO:0006457	Biological_Processes	protein folding	2442.26	0.24503413923182288
GO:0004673	Molecular_Functions	protein histidine kinase activity	2427.47	0.24355024524869298
GO:0006099	Biological_Processes	tricarboxylic acid cycle	2418.04	0.24260412487946284
GO:0006310	Biological_Processes	DNA recombination	2369.97	0.2377812186070456
GO:0005623	Cellular_Components	cell	2361.95	0.2369765648041584
