Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium swidsinskii	2702	68.76	568901	655560
Lactobacillus gasseri	1596	4.19	41033	39948
Finegoldia magna_H	1260	2.73	26386	26028
Allobacillus halotolerans	570278	2.3	31551	21928
Fannyhessea vaginae	82135	2.27	17801	21642
Imtechella halotolerans	1165090	2.21	37335	21070
Prevotella bivia	28125	1.9900000000000002	27061	18973
Winkia sp002849225	29318	1.68	19636	16017
Finegoldia magna	1260	1.33	13089	12680
Corynebacterium tuberculostearicum	38304	1.09	15070	10392
Corynebacterium tuberculostearicum_C	38304	1.02	13137	9725
Anaerococcus hydrogenalis	33029	0.96	9843	9153
Peptoniphilus_A harei_A	54005	0.8500000000000001	8325	8104
Finegoldia magna_F	1260	0.7	7154	6674
Escherichia coli	562	0.66	17981	6292
Staphylococcus epidermidis	1282	0.54	7074	5148
Peptoniphilus_A harei	54005	0.48	4833	4576
Negativicoccus succinicivorans	620903	0.37	2596	3528
Actinobaculum massiliense	202789	0.36	3928	3432
Staphylococcus hominis	1290	0.32	3579	3051
Bradyrhizobium sp003020075	2057741	0.31	12536	2956
Pauljensenia turicensis	131111	0.25	2643	2384
Anaerococcus senegalensis	1288120	0.25	2397	2384
Anaerococcus vaginimassiliensis	2042308	0.25	2251	2384
Enterococcus faecalis	1351	0.24	3393	2288
Staphylococcus haemolyticus	1283	0.22999999999999998	2828	2193
Corynebacterium pyruviciproducens	598660	0.19	2810	1811
Streptococcus sp019448285	28037	0.19	1987	1811
Veillonella atypica	39777	0.19	2240	1811
Limosilactobacillus coleohominis_A	181675	0.18	1669	1716
Streptococcus mitis_AV	28037	0.18	2089	1716
Streptococcus mitis_H	28037	0.18	1918	1716
Streptococcus mitis_I	28037	0.17	1768	1621
Peptoniphilus_A vaginalis	54005	0.17	1745	1621
Varibaculum cambriense_A	184870	0.13	1656	1239
Bradyrhizobium viridifuturi	1654716	0.13	6331	1239
Veillonella nakazawae	2682456	0.13	1478	1239
Actinotignum sanguinis	1445614	0.12	1317	1144
Corynebacterium simulans	146827	0.12	1803	1144
Atopobium deltae	1393034	0.12	955	1144
Streptococcus mitis_L	28037	0.12	1214	1144
Facklamia hominis	178214	0.12	1245	1144
Anaerococcus jeddahensis	1673719	0.12	1199	1144
Anaerococcus octavius	54007	0.12	1244	1144
Klebsiella pneumoniae	573	0.12	2067	1144
Micrococcus luteus	1270	0.1	1430	953
Bradyrhizobium elkanii	29448	0.08	3363	763
Cutibacterium avidum	33010	0.07	927	667
Allobacillus salarius	1955272	0.07	962	667
Anaerococcus prevotii	33034	0.06	635	572
Anaerococcus marasmi	2057797	0.06	659	572
Anaerococcus provencensis	938293	0.06	759	572
Corynebacterium amycolatum	43765	0.05	675	477
Peptoniphilus_A lacrimalis	33031	0.05	490	477
Winkia neuii	33007	0.04	526	381
Varibaculum cambriense	184870	0.04	473	381
Lawsonella clevelandensis	1528099	0.03	359	286
Cutibacterium granulosum	33011	0.03	306	286
Peptoniphilus_A lacydonensis	1673725	0.03	303	286
Cutibacterium acnes	1747	0.02	269	191
Blautia_A wexlerae	40520	0.02	454	191
Bradyrhizobium_u_s	374	0.02	1161	191
Ralstonia pickettii_B	329	0.01	352	95
Afipia sp001425835	1736436	0.01	204	95
