Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetales	2037	71.48000000000002	600510	681491
Tissierellales	1737405	8.219999999999999	81312	78371
Lactobacillales	186826	5.57	56316	53104
Mycobacteriales	85010	2.5	33854	23835
Coriobacteriales	84999	2.39	18756	22786
Bacillales_D	1385	2.3699999999999997	32513	22595
Flavobacteriales	200644	2.21	37335	21070
Bacteroidales	171549	1.9900000000000002	27061	18973
Staphylococcales	1385	1.09	13481	10392
Enterobacterales	91347	0.78	20048	7436
Veillonellales	1843489	0.69	6314	6578
Rhizobiales	356	0.55	23595	5244
Propionibacteriales	85009	0.12000000000000001	1502	1144
Lachnospirales	186802	0.02	454	191
Burkholderiales	80840	0.01	352	95
