GO ID	GO Category	GO Description	Copies per Million (CPM)	Relative Abundance
GO:0016021	Cellular_Components	integral component of membrane	114370	11.46533666912201
GO:0005524	Molecular_Functions	ATP binding	45567.1	4.567999847298675
GO:0005737	Cellular_Components	cytoplasm	41540.7	4.164362253834018
GO:0003677	Molecular_Functions	DNA binding	38200.5	3.8295146754288307
GO:0046872	Molecular_Functions	metal ion binding	23754.8	2.381365563588874
GO:0005886	Cellular_Components	plasma membrane	17611.6	1.7655235051316707
GO:0003700	Molecular_Functions	DNA-binding transcription factor activity	14024.5	1.405924754009807
GO:0016787	Molecular_Functions	hydrolase activity	13037.8	1.3070102861299198
GO:0006412	Biological_Processes	translation	12602.7	1.2633924843922704
GO:0003735	Molecular_Functions	structural constituent of ribosome	11322.6	1.1350653228101852
GO:0005840	Cellular_Components	ribosome	9960.26	0.9984937851883291
GO:0016740	Molecular_Functions	transferase activity	9561.91	0.9585600887456889
GO:0016887	Molecular_Functions	ATPase activity	9055.13	0.9077565273469159
GO:0006355	Biological_Processes	regulation of transcription, DNA-templated	8901.08	0.8923133594368151
GO:0008270	Molecular_Functions	zinc ion binding	8023.85	0.8043730141867154
GO:0000287	Molecular_Functions	magnesium ion binding	7770.64	0.7789892780846923
GO:0055085	Biological_Processes	transmembrane transport	7464.31	0.7482803808052296
GO:0043565	Molecular_Functions	sequence-specific DNA binding	7429.84	0.7448248404101554
GO:0003676	Molecular_Functions	nucleic acid binding	7249.17	0.726713077045547
GO:0019843	Molecular_Functions	rRNA binding	7109.19	0.7126803951626782
GO:0016491	Molecular_Functions	oxidoreductase activity	6994.48	0.7011809742540921
GO:0003723	Molecular_Functions	RNA binding	6518.67	0.6534820860794402
GO:0003824	Molecular_Functions	catalytic activity	6426.46	0.6442382398412682
GO:0005975	Biological_Processes	carbohydrate metabolic process	6252.45	0.6267941265791022
GO:0009279	Cellular_Components	cell outer membrane	5644.1	0.565808399879265
GO:0006352	Biological_Processes	DNA-templated transcription, initiation	5638.45	0.5652420000175833
GO:0016987	Molecular_Functions	sigma factor activity	5370.09	0.5383395103041481
GO:0005198	Molecular_Functions	structural molecule activity	5295.93	0.5309051361904636
GO:0030170	Molecular_Functions	pyridoxal phosphate binding	5148.32	0.5161075638749167
GO:0000160	Biological_Processes	phosphorelay signal transduction system	5143.52	0.5156263746118952
GO:0019028	Cellular_Components	viral capsid	4941.86	0.4954104106991981
GO:0006260	Biological_Processes	DNA replication	4916.79	0.4928971992775414
GO:0005525	Molecular_Functions	GTP binding	4672.08	0.4683655691621191
GO:0005623	Cellular_Components	cell	4605.32	0.461673028495593
GO:0000155	Molecular_Functions	phosphorelay sensor kinase activity	4546.21	0.4557473832170077
GO:0006281	Biological_Processes	DNA repair	4368.28	0.437910298723374
GO:0016301	Molecular_Functions	kinase activity	4361.86	0.43726670808408263
GO:0000049	Molecular_Functions	tRNA binding	4187.88	0.4198256022548106
GO:0045454	Biological_Processes	cell redox homeostasis	4055.01	0.40650568196779263
GO:0015074	Biological_Processes	DNA integration	4003.46	0.4013379097784664
GO:0051301	Biological_Processes	cell division	3970.38	0.39802171377414225
GO:0008168	Molecular_Functions	methyltransferase activity	3577.62	0.35864840232739603
GO:0022857	Molecular_Functions	transmembrane transporter activity	3501.39	0.35100651534403354
GO:0006310	Biological_Processes	DNA recombination	3349.45	0.3357748702141358
GO:0051539	Molecular_Functions	4 iron, 4 sulfur cluster binding	3118.17	0.3125895675575429
GO:0009055	Molecular_Functions	electron transfer activity	3062.97	0.30705589103279396
GO:0042025	Cellular_Components	host cell nucleus	3012.15	0.3019612997105523
GO:0016829	Molecular_Functions	lyase activity	2799.27	0.28062055589554225
GO:0006313	Biological_Processes	transposition, DNA-mediated	2731.9	0.2738668640935072
GO:0016020	Cellular_Components	membrane	2640.07	0.26466111200532433
GO:0009058	Biological_Processes	biosynthetic process	2625.02	0.26315238317022527
GO:0020037	Molecular_Functions	heme binding	2593.83	0.2600256554382158
GO:0051287	Molecular_Functions	NAD binding	2564.69	0.2571044356206219
GO:0005506	Molecular_Functions	iron ion binding	2539.26	0.2545551350042385
GO:0071555	Biological_Processes	cell wall organization	2538.79	0.2545080185555676
GO:0009401	Biological_Processes	phosphoenolpyruvate-dependent sugar phosphotransferase system	2531.02	0.2537290934360513
GO:0050660	Molecular_Functions	flavin adenine dinucleotide binding	2495.46	0.25016428297916593
GO:0003924	Molecular_Functions	GTPase activity	2493.24	0.24994173294501845
GO:0007049	Biological_Processes	cell cycle	2484.7	0.24908561704789245
GO:0004252	Molecular_Functions	serine-type endopeptidase activity	2460.08	0.24661751711964391
GO:0004803	Molecular_Functions	transposase activity	2452.54	0.2458616489856474
GO:0008360	Biological_Processes	regulation of cell shape	2391.03	0.2396954090755513
GO:0008233	Molecular_Functions	peptidase activity	2379.49	0.23853854988903672
GO:0009252	Biological_Processes	peptidoglycan biosynthetic process	2371.03	0.2376904538129611
GO:0006633	Biological_Processes	fatty acid biosynthetic process	2265.55	0.22711631975806043
GO:0005887	Cellular_Components	integral component of plasma membrane	2253.02	0.22586021528604766
GO:0043190	Cellular_Components	ATP-binding cassette (ABC) transporter complex	2239.32	0.2244868209311734
GO:0000166	Molecular_Functions	nucleotide binding	2218.77	0.22242672939886196
GO:0046983	Molecular_Functions	protein dimerization activity	2128.58	0.2133853836422115
GO:0005215	Molecular_Functions	transporter activity	2032.43	0.20374656121730916
GO:0009116	Biological_Processes	nucleoside metabolic process	2018.83	0.20238319163874782
GO:0030246	Molecular_Functions	carbohydrate binding	1963.07	0.19679337636664637
GO:0006457	Biological_Processes	protein folding	1923.42	0.1928185525585613
GO:0008237	Molecular_Functions	metallopeptidase activity	1916.66	0.19214087767980584
GO:0016746	Molecular_Functions	transferase activity, transferring acyl groups	1908.96	0.1913689699037086
GO:0004519	Molecular_Functions	endonuclease activity	1897.94	0.1902642395540214
GO:0016853	Molecular_Functions	isomerase activity	1870.62	0.18752547066532319
GO:0008236	Molecular_Functions	serine-type peptidase activity	1859.49	0.18640971306169177
GO:0004222	Molecular_Functions	metalloendopeptidase activity	1855.64	0.18602375917364317
GO:0016874	Molecular_Functions	ligase activity	1802.68	0.18071463763830434
GO:0003887	Molecular_Functions	DNA-directed DNA polymerase activity	1799.96	0.18044196372259205
GO:0032196	Biological_Processes	transposition	1799.51	0.18039685222918378
GO:0008483	Molecular_Functions	transaminase activity	1774.1	0.17784955656806292
GO:0016757	Molecular_Functions	transferase activity, transferring glycosyl groups	1705.21	0.17094348816607102
GO:0051536	Molecular_Functions	iron-sulfur cluster binding	1676.89	0.16810447151424332
GO:0006189	Biological_Processes	'de novo' IMP biosynthetic process	1658.96	0.16630702912133122
GO:0042626	Molecular_Functions	ATPase-coupled transmembrane transporter activity	1641.82	0.1645887824612914
GO:0006096	Biological_Processes	glycolytic process	1596.68	0.16006359843362536
GO:0050661	Molecular_Functions	NADP binding	1595.81	0.15997638287970267
GO:0006520	Biological_Processes	cellular amino acid metabolic process	1594.22	0.15981698893632676
GO:0003746	Molecular_Functions	translation elongation factor activity	1574.27	0.15781704606189303
GO:0006396	Biological_Processes	RNA processing	1567.29	0.15711731667524906
GO:0006099	Biological_Processes	tricarboxylic acid cycle	1539.31	0.15431238426288538
GO:0008982	Molecular_Functions	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	1511.65	0.15153953113472315
GO:0006541	Biological_Processes	glutamine metabolic process	1509.73	0.1513470554295145
GO:0000105	Biological_Processes	histidine biosynthetic process	1441.81	0.14453822735775818
GO:0015562	Molecular_Functions	efflux transmembrane transporter activity	1408.26	0.14117491490476317
GO:0051259	Biological_Processes	protein complex oligomerization	1396.89	0.14003509783798065
GO:0051082	Molecular_Functions	unfolded protein binding	1383.7	0.1387128298423024
GO:0050662	Molecular_Functions	coenzyme binding	1343.63	0.13469590197370296
GO:0015934	Cellular_Components	large ribosomal subunit	1335.21	0.13385181580815247
GO:0030001	Biological_Processes	metal ion transport	1316.92	0.13201828422051376
GO:0006265	Biological_Processes	DNA topological change	1314.46	0.13177167472321516
GO:0016620	Molecular_Functions	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	1294.97	0.129817845819821
GO:0046933	Molecular_Functions	proton-transporting ATP synthase activity, rotational mechanism	1270.27	0.12734172607052213
GO:0015935	Cellular_Components	small ribosomal subunit	1233.78	0.12368368519392631
GO:0004386	Molecular_Functions	helicase activity	1233.47	0.12365260838735619
GO:0016810	Molecular_Functions	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	1219.01	0.12220302573250345
GO:0005216	Molecular_Functions	ion channel activity	1210.66	0.12136595691037207
GO:0039707	Biological_Processes	pore formation by virus in membrane of host cell	1210.66	0.12136595691037207
GO:0044385	Cellular_Components	integral to membrane of host cell	1210.66	0.12136595691037207
GO:0006364	Biological_Processes	rRNA processing	1202.34	0.12053189552113452
GO:0003899	Molecular_Functions	DNA-directed 5'-3' RNA polymerase activity	1192.88	0.11958355168192938
GO:0006605	Biological_Processes	protein targeting	1182.94	0.11858708891642207
GO:0015986	Biological_Processes	ATP synthesis coupled proton transport	1177.84	0.11807582532446155
GO:0016032	Biological_Processes	viral process	1176.68	0.11795953791923133
GO:0030145	Molecular_Functions	manganese ion binding	1168.91	0.11718061279971505
GO:0008324	Molecular_Functions	cation transmembrane transporter activity	1168.8	0.11716958554577078
GO:0009228	Biological_Processes	thiamine biosynthetic process	1155.04	0.11579017632510874
GO:0030430	Cellular_Components	host cell cytoplasm	1154.22	0.11570797315934254
GO:0003697	Molecular_Functions	single-stranded DNA binding	1144.17	0.11470048313989098
GO:0016747	Molecular_Functions	transferase activity, transferring acyl groups other than amino-acyl groups	1142.97	0.11458018582413557
GO:0006094	Biological_Processes	gluconeogenesis	1139.76	0.11425839050448984
GO:0009432	Biological_Processes	SOS response	1139.05	0.11418721459266788
GO:0047134	Molecular_Functions	protein-disulfide reductase activity	1132.08	0.1134884876836552
GO:0004177	Molecular_Functions	aminopeptidase activity	1130.82	0.11336217550211201
GO:0006351	Biological_Processes	transcription, DNA-templated	1125.26	0.11280479793911195
GO:0015031	Biological_Processes	protein transport	1115.85	0.11186146648806325
GO:0003684	Molecular_Functions	damaged DNA binding	1087.26	0.10899538294019057
GO:0003688	Molecular_Functions	DNA replication origin binding	1078.57	0.10812422987859513
GO:0009306	Biological_Processes	protein secretion	1059.71	0.10623355706597261
GO:0019062	Biological_Processes	virion attachment to host cell	1055.61	0.1058225412371416
GO:0008173	Molecular_Functions	RNA methyltransferase activity	1048.16	0.10507569540182678
GO:0008658	Molecular_Functions	penicillin binding	1033.08	0.10356395913383376
GO:0015297	Molecular_Functions	antiporter activity	1012.48	0.10149885521336585
GO:0016226	Biological_Processes	iron-sulfur cluster assembly	1003.42	0.10059061047941249
GO:0003755	Molecular_Functions	peptidyl-prolyl cis-trans isomerase activity	990.863	0.09933179931779525
GO:0006400	Biological_Processes	tRNA modification	989.68	0.09921320621401303
GO:0003743	Molecular_Functions	translation initiation factor activity	983.017	0.09854525536828111
GO:0009073	Biological_Processes	aromatic amino acid family biosynthetic process	978.796	0.09812210956011147
GO:0009423	Biological_Processes	chorismate biosynthetic process	978.796	0.09812210956011147
GO:0006814	Biological_Processes	sodium ion transport	972.518	0.0974927541031844
GO:0065002	Biological_Processes	intracellular protein transmembrane transport	971.67	0.09740774400005058
GO:0006782	Biological_Processes	protoporphyrinogen IX biosynthetic process	967.251	0.09696474913478126
GO:0009089	Biological_Processes	lysine biosynthetic process via diaminopimelate	961.855	0.09642381220493443
GO:0044205	Biological_Processes	'de novo' UMP biosynthetic process	959.399	0.09617760369868836
GO:0002161	Molecular_Functions	aminoacyl-tRNA editing activity	957.908	0.09602813428386227
GO:0009245	Biological_Processes	lipid A biosynthetic process	943.832	0.09461704677005128
GO:0015035	Molecular_Functions	protein disulfide oxidoreductase activity	933.304	0.0935616383198238
GO:0015450	Molecular_Functions	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	924.888	0.09271795314532585
GO:0009435	Biological_Processes	NAD biosynthetic process	920.381	0.09226613647690116
GO:0016209	Molecular_Functions	antioxidant activity	919.435	0.09217130209298063
GO:0010181	Molecular_Functions	FMN binding	902.974	0.09052112366410578
GO:0055114	Biological_Processes	oxidation-reduction process	890.503	0.08927093381011768
GO:0008408	Molecular_Functions	3'-5' exonuclease activity	880.164	0.08823447218712166
GO:0008654	Biological_Processes	phospholipid biosynthetic process	879.421	0.08815998809911645
GO:0004553	Molecular_Functions	hydrolase activity, hydrolyzing O-glycosyl compounds	873.77	0.08759348798967158
GO:0046677	Biological_Processes	response to antibiotic	846.381	0.08484780200531744
GO:0046654	Biological_Processes	tetrahydrofolate biosynthetic process	838.116	0.08401925424305204
GO:0016788	Molecular_Functions	hydrolase activity, acting on ester bonds	835.949	0.0838020173403504
GO:0016779	Molecular_Functions	nucleotidyltransferase activity	834.597	0.0836664823645993
GO:0009097	Biological_Processes	isoleucine biosynthetic process	834.27	0.08363370134605595
GO:0004129	Molecular_Functions	cytochrome-c oxidase activity	833.835	0.08359009356909462
GO:0001522	Biological_Processes	pseudouridine synthesis	827.249	0.08292986180112367
GO:0006207	Biological_Processes	'de novo' pyrimidine nucleobase biosynthetic process	818.495	0.08205229288268794
GO:0009982	Molecular_Functions	pseudouridine synthase activity	808.991	0.08109953814190507
GO:0006353	Biological_Processes	DNA-templated transcription, termination	807.65	0.0809651058915484
GO:0030976	Molecular_Functions	thiamine pyrophosphate binding	806.379	0.0808376909846108
GO:0009231	Biological_Processes	riboflavin biosynthetic process	805.697	0.08076932201015648
GO:0004527	Molecular_Functions	exonuclease activity	804.259	0.08062516572677625
GO:0009229	Biological_Processes	thiamine diphosphate biosynthetic process	796.317	0.07982899799200167
