Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	25136	2.5135999419107065
PF00528	Binding-protein-dependent transport system inner membrane component	17742.9	1.77428995899616
PF00356	Bacterial regulatory proteins, lacI family	10320	1.031999976150481
PF07690	Major Facilitator Superfamily	9339.98	0.9339979784153071
PF00072	Response regulator receiver domain	5585.87	0.5585869870910549
PF03389	MobA/MobL family	5563.96	0.5563959871416889
PF00440	Bacterial regulatory proteins, tetR family	5366.07	0.5366069875990127
PF01051	Initiator Replication protein	5328.34	0.5328339876862068
PF00155	Aminotransferase class I and II	4791.38	0.47913798892712123
PF00128	Alpha amylase, catalytic domain	4684.17	0.46841698917488356
PF00589	Phage integrase family	4412.14	0.44121398980354487
PF01381	Helix-turn-helix	4280.99	0.42809899010663244
PF00664	ABC transporter transmembrane region	4188.67	0.41886699031998403
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	4128.33	0.4128329904594297
PF00293	NUDIX domain	3995.57	0.39955699076623813
PF00665	Integrase core domain	3980.84	0.3980839908002792
PF02687	FtsX-like permease family	3889.19	0.38891899101208227
PF00535	Glycosyl transferase family 2	3852.64	0.3852639910965493
PF00872	Transposase, Mutator family	3696.52	0.3696519914573426
PF08708	Primase C terminal 1 (PriCT-1)	3680.61	0.36806099149411065
PF03090	Replicase family	3661.79	0.36617899153760364
PF13635	Domain of unknown function (DUF4143)	3650.53	0.36505299156362553
PF00271	Helicase conserved C-terminal domain	3624.42	0.36244199162396573
PF00300	Histidine phosphatase superfamily (branch 1)	3336.84	0.3336839922885631
PF00486	Transcriptional regulatory protein, C terminal	3285.77	0.32857699240658583
PF00248	Aldo/keto reductase family	3269.81	0.3269809924434694
PF00480	ROK family	3207.97	0.3207969925863816
PF12385	Papain-like cysteine protease AvrRpt2	3077.07	0.30770699288889153
PF01547	Bacterial extracellular solute-binding protein	3020.47	0.30204699301969407
PF03466	LysR substrate binding domain	3000.23	0.30002299306646874
PF07992	Pyridine nucleotide-disulphide oxidoreductase	2914.9	0.29148999326366637
PF00270	DEAD/DEAH box helicase	2848.77	0.2848769934164928
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	2777.27	0.27772699358172925
PF00583	Acetyltransferase (GNAT) family	2741.98	0.2741979936632845
PF00156	Phosphoribosyl transferase domain	2729.18	0.2729179936928653
PF04616	Glycosyl hydrolases family 43	2639.51	0.26395099390009263
PF02653	Branched-chain amino acid transport system / permease component	2594.37	0.25943699400441117
PF00069	Protein kinase domain	2562.12	0.2562119940789409
PF00501	AMP-binding enzyme	2541.44	0.2541439941267324
PF01053	Cys/Met metabolism PLP-dependent enzyme	2448.94	0.24489399434049988
PF01695	IstB-like ATP binding protein	2409.79	0.24097899443097553
PF00117	Glutamine amidotransferase class-I	2404.19	0.24041899444391715
PF00004	ATPase family associated with various cellular activities (AAA)	2396.05	0.2396049944627287
PF00512	His Kinase A (phospho-acceptor) domain	2365.88	0.23658799453245158
PF04796	Plasmid encoded RepA protein	2267.44	0.2267439947599464
PF00892	EamA-like transporter family	2252.56	0.22525599479433406
PF00083	Sugar (and other) transporter	2251.97	0.2251969947956975
PF00294	pfkB family carbohydrate kinase	2210.78	0.22107799489088764
PF13416	Bacterial extracellular solute-binding protein	2201.13	0.22011299491318878
PF02661	Fic/DOC family	2180.31	0.2180309949613038
PF00497	Bacterial extracellular solute-binding proteins, family 3	2177.72	0.21777199496728927
PF00392	Bacterial regulatory proteins, gntR family	2174.07	0.21740699497572444
PF01614	Bacterial transcriptional regulator	2166.24	0.21662399499381954
PF07532	Bacterial Ig-like domain (group 4)	2133.97	0.21339699506839552
PF12833	Helix-turn-helix domain	2044.85	0.20448499527435182
PF00571	CBS domain	2029.22	0.20292199531047275
PF13614	AAA domain	2024.75	0.20247499532080296
PF01926	50S ribosome-binding GTPase	1985.07	0.1985069954125034
PF08751	TrwC relaxase	1976.12	0.19761199543318683
PF08245	Mur ligase middle domain	1975.76	0.19757599543401883
PF09339	IclR helix-turn-helix domain	1960.39	0.1960389954695389
PF00009	Elongation factor Tu GTP binding domain	1951.97	0.1951969954889975
PF00905	Penicillin binding protein transpeptidase domain	1930.42	0.19304199553879958
PF01546	Peptidase family M20/M25/M40	1895.82	0.18958199561876016
PF00588	SpoU rRNA Methylase family	1861.23	0.18612299569869764
PF04055	Radical SAM superfamily	1860.52	0.18605199570033845
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	1860.36	0.18603599570070822
PF00532	Periplasmic binding proteins and sugar binding domain of LacI family	1829.92	0.18299199577105504
PF08264	Anticodon-binding domain of tRNA	1812.41	0.18124099581152067
PF00196	Bacterial regulatory proteins, luxR family	1810.02	0.18100199581704393
PF08240	Alcohol dehydrogenase GroES-like domain	1805.56	0.180555995827351
PF00107	Zinc-binding dehydrogenase	1797.69	0.1797689958455386
PF00206	Lyase	1793.17	0.17931699585598432
PF00149	Calcineurin-like phosphoesterase	1791.38	0.179137995860121
PF01979	Amidohydrolase family	1790.35	0.1790349958625013
PF00587	tRNA synthetase class II core domain (G, H, P, S and T)	1754.89	0.1754889959444494
PF13749	Putative ATP-dependent DNA helicase recG C-terminal	1737.97	0.1737969959835515
PF07944	Beta-L-arabinofuranosidase, GH127	1727.79	0.17277899600707747
PF01966	HD domain	1704.33	0.17043299606129353
PF01479	S4 domain	1699.24	0.16992399607305653
PF13276	HTH-like domain	1683.26	0.1683259961099863
PF02388	FemAB family	1669.21	0.16692099614245584
PF02368	Bacterial Ig-like domain (group 2)	1649.43	0.16494299618816743
PF01451	Low molecular weight phosphotyrosine protein phosphatase	1646.6	0.16465999619470756
PF00884	Sulfatase	1610.01	0.16100099627926703
PF03129	Anticodon binding domain	1585.93	0.15859299633491591
PF00498	FHA domain	1567.99	0.15679899637637526
PF13936	Helix-turn-helix domain	1565.81	0.15658099638141323
PF07687	Peptidase dimerisation domain	1558.98	0.15589799639719737
PF02065	Melibiase	1557.32	0.1557319964010336
PF01610	Transposase	1542.51	0.15425099643525952
PF01842	ACT domain	1541.26	0.15412599643814828
