Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Imtechella halotolerans	1165090	30.92	393165	330156
Allobacillus halotolerans	570278	27.889999999999997	288480	297802
Streptococcus agalactiae	1311	13.79	120701	147246
Corynebacterium striatum	43770	12.19	133966	130162
Streptococcus anginosus	1328	2.9	23638	30965
Staphylococcus haemolyticus	1283	1.6399999999999997	15182	17511
Allobacillus salarius	1955272	0.8500000000000001	8871	9076
Finegoldia magna_H	1260	0.72	5237	7688
Corynebacterium tuberculostearicum	38304	0.68	7031	7261
Actinobaculum massiliense	202789	0.65	5354	6941
Corynebacterium simulans	146827	0.65	7172	6941
Corynebacterium tuberculostearicum_C	38304	0.63	6145	6727
Lactobacillus iners	147802	0.53	2786	5659
Atopobium deltae	1393034	0.5	2938	5339
Veillonella montpellierensis	187328	0.49	3914	5232
Staphylococcus epidermidis	1282	0.48	4643	5125
Staphylococcus aureus	1280	0.4	3747	4271
Varibaculum cambriense	184870	0.33	2743	3524
Peptoniphilus_A harei_A	54005	0.31	2292	3310
Finegoldia magna	1260	0.26	1928	2776
Bifidobacterium piotii	2792977	0.26	1736	2776
Propionimicrobium lymphophilum	33012	0.24	2013	2563
Ureaplasma urealyticum	2130	0.22	781	2349
Corynebacterium_u_s	1716	0.22	2143	2349
Finegoldia magna_F	1260	0.2	1562	2136
Peptoniphilus_C coxii	755172	0.19	1383	2029
Winkia sp002849225	29318	0.18	1592	1922
Aerococcus christensenii	87541	0.17	1122	1815
Corynebacterium aurimucosum_F	169292	0.17	1893	1815
Dermabacter hominis	36740	0.13	1279	1388
Cutibacterium avidum	33010	0.11	1140	1175
Staphylococcus borealis	2742203	0.1	1110	1068
Prevotella timonensis	386414	0.1	1265	1068
Ezakiella coagulans	46507	0.09	681	961
Cutibacterium acnes	1747	0.09	904	961
Prevotella bivia	28125	0.08	777	854
Akkermansia sp004167605	818	0.08	1120	854
Prevotella timonensis_A	386414	0.07	888	747
Anaerococcus jeddahensis	1673719	0.06	477	641
Pauljensenia turicensis	131111	0.06	493	641
Peptoniphilus_A_u_s	162289	0.05	428	534
Anaerococcus_u_s	165779	0.04	278	427
Parvimonas parva	2769485	0.03	191	320
Prevotella disiens	28130	0.03	337	320
Actinotignum timonense	1870995	0.03	308	320
Gemella asaccharolytica	502393	0.02	103	214
Anaerostipes_u_s	207244	0.02	185	214
Blautia_A wexlerae	40520	0.02	370	214
Anaerococcus hydrogenalis	33029	0.02	179	214
Pauljensenia radingae_A	1673722	0.02	238	214
Ralstonia pickettii_B	329	0.02	452	214
Dialister micraerophilus	309120	0.02	103	214
Actinomyces urogenitalis	103621	0.01	135	107
Methanobrevibacter_A smithii_A	2173	0.01	103	107
Methanosphaera stadtmanae	2317	0.01	72	107
