Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Propionibacterium phage P101A	1229786	5096.26	7.165000000000001	0.032805	0.121363	1988
Propionibacterium phage P9.1	1229782	4984.26	7.008	0.040127	0.107746	3364
Propionibacterium phage PHL060L00	1235647	4857.14	6.829000000000001	0.027914	0.11653	1862
Propionibacterium phage PA6	376758	4654.53	6.544	0.034051	0.10299	3241
Propionibacterium phage P100D	1229789	4619.7	6.494999999999999	0.032907	0.106909	2707
Propionibacterium phage P105	1229788	4234.56	5.954000000000001	0.017944	0.09151	1625
Propionibacterium phage P1.1	1229792	4134.92	5.814	0.017187	0.098405	1338
Propionibacterium phage P100_1	1229791	3794.9	5.335999999999999	0.023077	0.097572	1657
Propionibacterium phage PHL112N00	1235654	3761.7	5.289	0.023137	0.091907	1832
Propionibacterium phage PHL113M01	1235655	3590.67	5.048	0.030984	0.103257	1912
Propionibacterium phage PHL111M01	1235653	3581.22	5.035	0.031503	0.097184	2181
Propionibacterium phage P14.4	1229784	3474.58	4.885	0.020577	0.077918	2292
Siphoviridae	10699	3098.67	4.356999999999999	0.076577	0.076577	501
Propionibacterium phage P104A	1229787	2594.24	3.6470000000000002	0.027617	0.090411	1691
Propionibacterium phage PHL067M10	1235649	2573.56	3.618	0.016104	0.07528	1139
Propionibacterium phage PHL071N05	1235650	2395.81	3.3680000000000003	0.025678	0.085498	1500
Propionibacterium phage PAS50	504553	2294.89	3.227	0.018996	0.085683	945
Propionibacterium phage PAD20	504501	2113.98	2.972	0.020098	0.069374	1363
Propionibacterium phage ATCC29399B_C	1229794	1954.65	2.748	0.024209	0.060841	551
Propionibacterium phage PHL114L00	1235656	1576.33	2.2159999999999997	0.015147	0.038017	2547
Staphylococcus phage StB20	1147043	1217.52	1.712	0.124315	0.124322	5041
Phietavirus	1623298	232.31	0.327	0.030864	0.02829	81
Staphylococcus phage CNPH82	398839	137.36	0.193	0.016301	0.022942	192
Staphylococcus phage Ipla7	1197953	96.19	0.135	0.014837	0.016391	257
unclassified Lambda-like viruses	335795	55.23	0.078	0.012553	0.012921	47
