Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetaceae	2049	24.69	437787	611593
Enterobacteriaceae	543	17.400000000000002	757080	431014
Flavobacteriaceae	49546	14.14	378589	350261
Alkalibacillaceae	186817	12.92	281392	320040
Aerococcaceae	186827	6.95	120583	172159
Enterococcaceae	81852	4.52	102968	111965
Propionibacteriaceae	31957	4.34	81089	107506
Bacteroidaceae	815	2.9799999999999995	74549	73817
Peptoniphilaceae	1570339	2.9299999999999993	46781	72581
Bifidobacteriaceae	31953	2.1399999999999997	40550	53010
Lachnospiraceae	186803	1.4500000000000004	42932	35916
Mycobacteriaceae	1762	1.25	25967	30964
Staphylococcaceae	90964	1.08	21294	26753
Porphyromonadaceae	171551	0.9299999999999999	17376	23037
Campylobacteraceae	72294	0.81	11912	20065
Ruminococcaceae	216572	0.51	12944	12634
Coriobacteriaceae	84107	0.28	5438	6936
Dialisteraceae	31977	0.27	2852	6688
Streptococcaceae	1300	0.1	1710	2477
Burkholderiaceae_B	80864	0.07	3844	1734
Burkholderiaceae	119060	0.06	2569	1486
Xanthobacteraceae	335928	0.04	2640	991
Veillonellaceae	31977	0.03	620	743
Acidaminococcaceae	909930	0.03	620	743
Lactobacillaceae	33958	0.02	337	495
Beijerinckiaceae	45404	0.02	746	495
Eggerthellaceae	1643826	0.02	655	495
Negativicoccaceae	31977	0.02	177	495
UBA1381	186801	0.01	314	248
Tannerellaceae	2005525	0.01	390	248
Rhizobiaceae	82115	0.01	390	248
