Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Enterobacter GENE espfs		-	21687.89	7.646999999999999	0.973358	0.979611	13225
Enterococcus faecium GI 21886745		-	19004.42	6.701	1	0.954984	156
Staphylococcus aureus GI 33390919		-	17619.05	6.213	0.899497	0.935065	1359
Escherichia coli GENE aphA7		-	13715.53	4.836	0.95	0.95	2056
Enterobacter GENE cylM		-	12645.54	4.459	0.75419	0.849903	4634
Enterococcus faecalis GENE cylR2		-	12225.19	4.311	1	1	549
Enterobacter GENE hylA		-	10457.95	3.688	0.693464	0.745082	5093
Enterobacter GENE cylB		-	10277.19	3.624	0.874816	0.874816	4284
Enterobacter GENE cCF10		-	8902.58	3.1390000000000002	0.701826	0.701826	1888
Enterobacter GENE agg		-	8886.52	3.1329999999999996	0.61913	0.632075	7702
Enterobacter GENE ebpA		-	8829.81	3.113	0.749196	0.749196	5480
Enterobacter GENE ebpC		-	8733.15	3.079	0.76087	0.721457	3190
Enterococcus faecalis GENE fsrC		-	8050.63	2.839	0.817757	0.817757	1673
Enterobacter GENE cad		-	7808.96	2.754	0.702572	0.702572	1826
Staphylococcus aureus GI 33390920		-	7635.08	2.692	0.968153	0.968153	464
Staphylococcus aureus GENE qacC		-	7447.63	2.626	1	1	403
Enterobacter GENE cylA		-	7254.25	2.558	0.727273	0.727273	1816
Enterobacter GENE cOB1		-	7209.1	2.5420000000000003	0.644513	0.644513	1782
Enterobacter GENE ElrA		-	7106.56	2.506	0.612272	0.612272	3418
Enterococcus faecalis GeneID EF0954		-	7075.19	2.495	0.764851	0.764851	1020
Enterococcus faecalis GENE fsrA		-	6784.38	2.392	0.905775	0.905775	631
Enterobacter GENE espfm		-	6557.58	2.3120000000000003	0.40085	0.514351	2024
Enterobacter GENE tpx		-	6531.6	2.303	0.747573	0.747573	748
Staphylococcus aureus GENE thyA		-	6490.35	2.289	0.906489	0.906489	722
Enterobacter GENE SrtA		-	6257.53	2.206	0.626866	0.626866	1132
Enterococcus faecalis GENE cylL-s		-	5758.33	2.03	1	1	158
Enterobacter GENE camE		-	5286.72	1.864	0.723529	0.723529	530
Enterobacter GENE gelE		-	4934.09	1.7399999999999998	0.430788	0.502222	1141
Haemophilus parasuis GENE tetB		-	3524	1.243	0.520343	0.520343	432
Staphylococcus aureus GENE blaI		-	3507.97	1.237	0.534392	0.534392	247
Staphylococcus aureus GENE blaR1		-	3456.67	1.2189999999999999	0.480403	0.480403	695
Staphylococcus aureus GENE dfrA		-	3428.31	1.209	0.553648	0.553648	245
Enterococcus faecalis GeneID EF1817		-	3116.33	1.099	0.464286	0.464286	347
Proteus mirabilis GENE tnpA		-	2802.16	0.988	0.9	0.9	18
Staphylococcus aureus GI 33390964		-	2592.28	0.914	0.424242	0.424242	190
