Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus	1279	144664.82	84.22	134459
Corynebacterium	1716	13712.509999999998	7.982000000000001	141273
Actinomyces	1654	2647.3300000000004	1.5419999999999998	37240
Cutibacterium	1912216	2494.95	1.452	25
Propionibacterium	1743	2469.58	1.438	34
Brochothrix	2755	1517.72	0.8840000000000001	26603
Veillonella	29465	844.38	0.49100000000000005	778
Neisseria	482	542.7099999999999	0.316	5319
Leuconostoc	1243	386.37	0.22499999999999998	2776
Rothia	32207	366.61	0.21400000000000002	1904
Lautropia	47670	356.84	0.208	7726
Capnocytophaga	1016	320.49	0.186	4509
Morococcus	212742	312.05	0.182	1696
Prevotella	838	284.36	0.166	372
Streptococcus	1301	238.02	0.13899999999999998	609
Micrococcus	1269	170.32	0.099	30
Selenomonas	970	137.23	0.08	1121
Abiotrophia	46123	111.85	0.065	1987
Pseudopropionibacterium	1912217	95.45	0.055999999999999994	2328
Tannerella	195950	96.7	0.055999999999999994	83
