Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium longum GCA_902167545.1	1679	36.5	7169411	7232945
Bifidobacterium dentium GCA_002075955.1	1689	21.64	4585746	4288245
Actinotignum sanguinis GCA_003957255.1	1445614	18.79	3141861	3723481
Prevotella timonensis GCA_000455445.1	1122992	4.38	1146981	867953
Lactobacillus crispatus GCA_009857395.1	47770	2.47	438578	489462
Winkia sp002849225 GCA_002872055.1	2069311	2.21	395313	437940
Finegoldia magna_H GCA_000179495.1	768713	1.73	252402	342822
Corynebacterium pyruviciproducens GCA_000411375.1	1125779	1.28	281988	253648
Staphylococcus hominis GCA_001815595.1	1739538	0.83	142618	164475
Escherichia coli GCA_000249595.2	868160	0.78	316948	154567
Staphylococcus epidermidis	1282	0.72	136500	142677
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.72	106281	142677
Corynebacterium tuberculostearicum GCA_000156615.2	525264	0.62	129470	122861
Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	0.62	119766	122861
Anaerococcus vaginalis_B GCA_000307225.1	33037	0.59	94380	116916
Varibaculum cambriense GCA_000420065.1	1123488	0.58	95818	114934
Finegoldia magna GCA_009678325.1	2584649	0.37	54244	73320
Lactobacillus paragasseri GCA_014269295.2	2107999	0.35	52648	69357
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.35	52032	69357
Prevotella buccalis GCA_000177075.1	679190	0.34	84309	67375
Prevotella bergensis GCA_000160535.1	585502	0.25	68239	49541
Dialister micraerophilus GCA_000194985.1	888062	0.22999999999999998	23077	45577
Bradyrhizobium sp003020075 GCA_003020075.1	2133945	0.21	130278	41614
Propionimicrobium lymphophilum GCA_000510445.1	1111131	0.17	28730	33688
Anaerococcus vaginimassiliensis GCA_000191725.2	879305	0.17	23440	33688
Anaerococcus lactolyticus GCA_000758765.1	1284686	0.17	27779	33688
Finegoldia magna_F GCA_000159695.1	525282	0.16	25113	31706
Aerococcus urinae_D GCA_001809895.1	1715159	0.15	25272	29724
Prevotella sp000479005 GCA_000479005.1	1111130	0.15	34103	29724
Prevotella colorans GCA_003096815.1	1703337	0.15	34728	29724
Imtechella halotolerans GCA_000260835.1	946077	0.15	36923	29724
Allobacillus halotolerans GCA_007559355.1	1955271	0.14	28503	27743
Prevotella sp900547085 GCA_900547085.1	159272	0.14	24123	27743
Aerococcus urinae_B GCA_001811135.1	1739288	0.1	15524	19816
Bradyrhizobium viridifuturi GCA_002289535.1	418599	0.1	68126	19816
Peptoniphilus_A vaginalis GCA_900176605.1	1756987	0.09	13314	17835
Varibaculum cambriense_A GCA_000508625.1	1403948	0.08	14087	15853
Pauljensenia radingae_A GCA_001457875.1	1673722	0.08	15510	15853
Peptoniphilus_A harei GCA_001815405.1	1739525	0.07	11185	13871
Anaerococcus jeddahensis GCA_001182725.1	1673719	0.07	10100	13871
Peptoniphilus_C coxii GCA_001553115.1	755172	0.07	10400	13871
Facklamia hominis GCA_000301035.1	883111	0.06	9942	11890
Bradyrhizobium sp002532045 GCA_002532045.1	142585	0.06	44532	11890
Anaerococcus senegalensis GCA_000321005.2	1033733	0.06	8470	11890
Winkia neuii GCA_001807285.1	1581120	0.05	9098	9908
Corynebacterium glucuronolyticum GCA_000156595.1	548477	0.05	10271	9908
Cutibacterium acnes	1747	0.05	10961	9908
Eggerthella lenta GCA_000763035.1	742768	0.05	16153	9908
Bradyrhizobium elkanii GCA_009720285.1	1419258	0.05	32318	9908
Anaerococcus_u_t	165779	0.05	8521	9908
Anaerococcus octavius GCA_002847745.1	54007	0.05	8332	9908
Varibaculum massiliense GCA_900106855.1	1852372	0.04	8277	7927
Bradyrhizobium elkanii	29448	0.04	31568	7927
Bradyrhizobium pachyrhizi	280333	0.04	31674	7927
Bradyrhizobium septentrionale GCA_000426785.1	172088	0.04	32175	7927
Peptoniphilus_A grossensis GCA_000311825.1	1118057	0.04	6515	7927
Peptoniphilus_B duerdenii GCA_000146345.1	862517	0.04	6254	7927
Anaerococcus hydrogenalis GCA_000173355.1	561177	0.03	4579	5945
Alloscardovia_u_t	419014	0.02	3596	3963
Corynebacterium_u_t	1716	0.02	4955	3963
Aerococcus sp001809535 GCA_001836025.1	1715184	0.02	3581	3963
Staphylococcaceae_u_t	90964	0.02	4082	3963
Porphyromonas asaccharolytica GCA_000212375.1	879243	0.02	4419	3963
Klebsiella pneumoniae	573	0.02	4738	3963
Campylobacter_B ureolyticus GCA_000597825.1	827	0.02	2933	3963
Anaerococcus prevotii GCA_000024105.1	525919	0.02	3123	3963
Anaerococcus marasmi GCA_900290195.1	2057797	0.02	3817	3963
Urinicoccus timonensis GCA_900232945.1	2024205	0.02	3458	3963
Corynebacterium amycolatum_A	43765	0.01	1984	1982
Cutibacterium avidum	33010	0.01	1615	1982
Lactobacillus gasseri GCA_015546835.1	1596	0.01	2080	1982
Limosilactobacillus coleohominis_A GCA_000161935.1	575594	0.01	923	1982
Streptococcus sp001811505 GCA_001811505.1	1739309	0.01	1038	1982
Streptococcus pseudopneumoniae_L GCA_000259525.1	1095726	0.01	948	1982
Aerococcus urinae_A GCA_000193205.1	2976812	0.01	2358	1982
Porphyromonas uenonis GCA_000482365.1	1122976	0.01	2028	1982
Porphyromonas uenonis_A GCA_000174775.1	596327	0.01	1740	1982
Porphyromonas_A sp001808555 GCA_001808555.1	1739394	0.01	836	1982
Acinetobacter baumannii GCA_000189715.2	886890	0.01	2074	1982
Bradyrhizobium ivorense	2511166	0.01	9036	1982
Campylobacter_B ureolyticus_A GCA_000413435.1	883165	0.01	1858	1982
Anaerococcus nagyae GCA_003433955.1	1755241	0.01	843	1982
Peptoniphilus_C pacaensis GCA_900088125.1	1776390	0.01	900	1982
Peptoniphilus_E obesi GCA_000311865.1	1118062	0.01	915	1982
Negativicoccus succinicivorans GCA_000508525.1	1403945	0.01	923	1982
