Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	295972.09	9.884	0.788945	0.863636	24660
Bacteroides vulgatus GI 33413459		-	258771.96	8.642	1	1	14563
Staphylococcus lentus GENE repL		-	243518.5	8.133	1	1	28664
Parabacteroides distasonis GI 32395281		-	218867.98	7.309	1	1	3459
Parabacteroides distasonis GI 32395282		-	210898.94	7.043000000000001	0.826087	0.826087	11800
Staphylococcus lentus GENE ermC		-	206815.4	6.907000000000001	1	1	36304
Enterococcus faecalis GENE repB		-	140865.48	4.704	1	1	27537
Proteus mirabilis GENE tnpA		-	93350.55	3.118	1	1	1484
Staphylococcus lentus GENE repC		-	89906.02	3.0020000000000002	1	1	20720
Staphylococcus lentus GENE tetK		-	86451.27	2.887	1	1	29326
Enterococcus faecalis GENE mobB		-	83867.39	2.801	1	1	24972
Enterococcus faecium GENE sat4		-	73445.13	2.453	1	1	7315
Escherichia coli GENE aphA7		-	67476.25	2.253	0.95	0.95	12096
Klebsiella pneumoniae GENE tnpA		-	60768.14	2.029	1	1	7539
Staphylococcus lentus GI 60416745		-	60461.34	2.019	1	1	654
Bacteroides fragilis GENE rteA		-	49199	1.643	0.836485	0.836485	22263
Staphylococcus lentus GI 60416748		-	38107.07	1.273	0.5	0.5	454
Enterococcus faecium GENE aadE		-	35906.95	1.199	1	1	6886
Bacteroides fragilis GENE tetQ		-	35834.87	1.197	0.953521	0.953521	12700
Proteus mirabilis GENE sul1		-	33064.77	1.1039999999999999	1	1	1524
Yersinia pestis GENE irp1		-	30046	1.0030000000000001	0.910631	0.930891	28614
Staphylococcus aureus GI 33390939		-	26541.26	0.886	0.857143	0.857143	864
Yersinia pestis GENE ybtS		-	26354.94	0.88	0.968627	0.968627	6764
Yersinia pestis GENE ybtP		-	26074.61	0.8710000000000001	0.910162	0.910162	8686
Escherichia coli GENE vat		-	25520.06	0.852	0.423019	0.818756	4253
Yersinia pestis GENE irp2		-	25308.27	0.845	0.860864	0.885649	16601
Vibrio cholerae GENE intI1		-	24837.42	0.8290000000000001	1	1	307
Staphylococcus epidermidis GeneID SEA1545		-	22469.93	0.75	1	1	2770
Klebsiella pneumoniae GI 42543951		-	22354.4	0.747	1	1	172
Staphylococcus aureus GI 33390947		-	22096.37	0.738	1	1	545
Staphylococcus aureus GENE thyA		-	21997.55	0.735	0.96374	0.96374	5610
Yersinia pestis GENE ybtA		-	21950.76	0.733	0.902703	0.902703	4269
Yersinia pestis GENE ybtQ		-	21947.73	0.733	0.910029	0.910029	7096
Yersinia pestis GENE ybtE		-	21614.21	0.722	0.903399	0.903399	5934
Yersinia pestis GENE ybtU		-	21385.52	0.714	0.916216	0.916216	4122
Yersinia pestis GENE ybtT		-	21197.13	0.7080000000000001	0.905263	0.905263	3292
Yersinia pestis GENE fyuA		-	20892.42	0.698	0.909207	0.909207	7546
Escherichia coli GENE pic		-	19543.38	0.653	0.549724	0.6	19850
Staphylococcus aureus GI 33390920		-	18936.75	0.632	0.917197	0.917197	1758
Escherichia coli GENE ompA		-	18802.61	0.628	0.861017	0.861017	2997
Enterococcus faecium GI 21886745		-	18309.09	0.611	1	0.954984	697
Yersinia pestis GENE ybtX		-	17520.85	0.585	0.884279	0.884279	3926
Pseudomonas aeruginosa GENE intI1		-	16879.06	0.5640000000000001	1	1	597
Staphylococcus aureus GENE dfrA		-	15156.54	0.506	0.845494	0.845494	1921
Staphylococcus aureus GENE blaI		-	10292.38	0.344	0.851852	0.851852	976
Enterococcus faecium GI 21886752		-	9617.17	0.321	1	1	1157
Staphylococcus aureus GENE blaZ		-	9253.35	0.309	0.440605	0.440605	2388
Enterococcus faecium GENE ermB		-	8920.94	0.298	0.931624	0.931624	1133
Enterococcus faecium GI 21886751		-	7073.98	0.23600000000000002	0.921409	0.921409	726
Staphylococcus aureus GENE blaR1		-	6298.27	0.21	0.533035	0.533035	2158
Bacteroides fragilis GENE rteB		-	6054.19	0.202	0.729075	0.729075	857
Enterococcus faecium GI 21886746		-	5982.38	0.2	0.982143	0.982143	150
Klebsiella pneumoniae GENE orf6		-	5546.43	0.185	1	1	129
Bacteroides fragilis GENE mobA		-	3906.61	0.13	0.422819	0.422819	332
Klebsiella pneumoniae GENE ompK35		-	2962.34	0.099	0.555172	0.555172	165
Shigella flexneri GI 12034668		-	2802.62	0.094	0.692308	0.692308	45
Bacteroides fragilis GI 46242808		-	2318.63	0.077	0.407407	0.407407	130
Klebsiella oxytoca GI 19682875		-	2071.3	0.06899999999999999	0.471014	0.471014	65
