Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacteriaceae	31953	67.63	2623565	2667143
Actinomycetaceae	2049	11.370000000000001	420540	448402
Streptococcaceae	1300	11.25	348157	443669
Mycobacteriaceae	1762	4.6899999999999995	208721	184960
Xanthobacteraceae	335928	1.3100000000000003	179210	51661
Alkalibacillaceae	186817	1.06	44360	41803
Flavobacteriaceae	49546	1.03	52700	40620
Peptoniphilaceae	1570339	0.6200000000000001	18452	24450
Bacteroidaceae	815	0.2	9328	7887
Aerococcaceae	186827	0.19999999999999998	6326	7887
Staphylococcaceae	90964	0.19	7013	7493
Dialisteraceae	31977	0.09	1823	3549
Propionibacteriaceae	31957	0.06	2277	2366
Burkholderiaceae_B	80864	0.06	6674	2366
Burkholderiaceae	119060	0.04	3157	1577
Pseudomonadaceae	135621	0.03	3132	1183
Veillonellaceae	31977	0.03	1027	1183
Thermaceae	188786	0.03	1412	1183
Atopobiaceae	1643824	0.02	540	789
Porphyromonadaceae	171551	0.02	821	789
Rhizobiaceae	82115	0.02	1771	788
Beijerinckiaceae	45404	0.02	1643	789
Dermabacteraceae	85020	0.01	385	394
Eggerthellaceae	1643826	0.01	488	394
Anaerovoracaceae	186802	0.01	205	394
