Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	13750.5	1.3750500227158244
PF07690	Major Facilitator Superfamily	9580.04	0.9580040158262251
PF03466	LysR substrate binding domain	7585.03	0.7585030125304686
PF00528	Binding-protein-dependent transport system inner membrane component	6507.99	0.6507990107511987
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	6421.18	0.6421180106077886
PF00072	Response regulator receiver domain	5345.4	0.5345400088306002
PF00577	Outer membrane usher protein	4949.26	0.494926008176177
PF00873	AcrB/AcrD/AcrF family	4140.73	0.4140730068404854
PF00171	Aldehyde dehydrogenase family	3995.67	0.39956700660084643
PF00419	Fimbrial protein	3973.22	0.39732200656375893
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	3927.09	0.3927090064875522
PF00083	Sugar (and other) transporter	3586.46	0.35864600592483153
PF00324	Amino acid permease	3441.21	0.3441210056848785
PF00860	Permease family	3429.71	0.3429710056658805
PF07992	Pyridine nucleotide-disulphide oxidoreductase	3412.31	0.3412310056371357
PF00563	EAL domain	3401.55	0.3401550056193602
PF00392	Bacterial regulatory proteins, gntR family	3319.79	0.3319790054842927
PF00294	pfkB family carbohydrate kinase	3282.13	0.3282130054220784
PF12833	Helix-turn-helix domain	3230.21	0.32302100533630657
PF00155	Aminotransferase class I and II	3198.86	0.3198860052845164
PF02653	Branched-chain amino acid transport system / permease component	3176.47	0.31764700524752804
PF00384	Molybdopterin oxidoreductase	2975	0.29750000491469963
PF00501	AMP-binding enzyme	2835.99	0.2835990046850551
PF00196	Bacterial regulatory proteins, luxR family	2805.49	0.28054900463466914
PF02378	Phosphotransferase system, EIIC	2757.31	0.27573100455507576
PF00345	Pili and flagellar-assembly chaperone, PapD N-terminal domain	2702.16	0.270216004463968
PF00990	Diguanylate cyclase, GGDEF domain	2586.98	0.25869800427369066
PF00497	Bacterial extracellular solute-binding proteins, family 3	2569.38	0.2569380042446155
PF00512	His Kinase A (phospho-acceptor) domain	2457.77	0.24577700406023575
PF00271	Helicase conserved C-terminal domain	2396.86	0.23968600395961243
PF00696	Amino acid kinase family	2361.57	0.2361570039013134
PF00486	Transcriptional regulatory protein, C terminal	2335.03	0.2335030038574693
PF00884	Sulfatase	2320.94	0.2320940038341926
PF00455	DeoR C terminal sensor domain	2314.26	0.23142600382315726
PF00248	Aldo/keto reductase family	2311.85	0.2311850038191759
PF00106	short chain dehydrogenase	2310.88	0.23108800381757352
PF00158	Sigma-54 interaction domain	2304.05	0.23040500380629034
PF00293	NUDIX domain	2282.41	0.22824100377054102
PF00107	Zinc-binding dehydrogenase	2155.74	0.2155740035612822
PF13407	Periplasmic binding protein domain	2150.45	0.21504500355254313
PF08240	Alcohol dehydrogenase GroES-like domain	2121.97	0.21219700350549414
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	2120.94	0.21209400350379265
PF13954	PapC N-terminal domain	2105.1	0.21051000347762494
PF00589	Phage integrase family	2082.36	0.2082360034400585
PF04055	Radical SAM superfamily	2057.92	0.20579200339968362
PF13520	Amino acid permease	2045.78	0.2045780033796283
PF01548	Transposase	2027.77	0.2027770033498758
PF00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	2018.01	0.20180100333375225
PF07729	FCD domain	2006.38	0.20063800331453951
PF00532	Periplasmic binding proteins and sugar binding domain of LacI family	1998.5	0.19985000330152175
PF00892	EamA-like transporter family	1950.38	0.19503800322202752
PF00132	Bacterial transferase hexapeptide (six repeats)	1937.43	0.19374300320063415
PF01979	Amidohydrolase family	1931.71	0.1931710031911847
PF01276	Orn/Lys/Arg decarboxylase, major domain	1912.86	0.1912860031600445
