Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
2.7.13.3	Histidine kinase	17977.9	1.797790108029205
3.6.4.12	DNA helicase	17667.6	1.7667601061646117
2.7.7.7	DNA-directed DNA polymerase	15614.8	1.561480093829336
5.2.1.8	Peptidylprolyl isomerase	10279.6	1.0279600617701183
2.7.1.69	2.7.1.208	10063	1.006300060468569
2.7.7.6	DNA-directed RNA polymerase	9751.17	0.9751170585947824
1.6.5.11	NADH dehydrogenase (quinone)	7917.56	0.7917560475766197
5.99.1.3	Transferred entry 5.6.2.2	7164.14	0.7164140430493187
1.17.4.1	Ribonucleoside-diphosphate reductase	5486.86	0.5486860329705427
3.6.3.14	Transferred entry 7.1.2.2	4701.01	0.47010102824836997
6.1.1.20	Phenylalanine--tRNA ligase	4684.15	0.4684150281470582
2.5.1.6	Methionine adenosyltransferase	4263.91	0.426391025621836
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	4171.01	0.4171010250635999
2.4.1.1	Glycogen phosphorylase	4144.54	0.41445402490454164
6.1.1.14	Glycine--tRNA ligase	3852.27	0.38522702314829116
3.1.26.4	Ribonuclease H	3832.18	0.3832180230275703
2.4.2.8	Hypoxanthine phosphoribosyltransferase	3643.15	0.3643150218916891
3.4.21.92	Endopeptidase Clp	3608.78	0.3608780216851597
2.2.1.6	Acetolactate synthase	3416.66	0.34166602053071055
4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase	3351.84	0.3351840201412072
5.3.1.1	Triose-phosphate isomerase	3179.77	0.3179770191072385
2.4.2.9	Uracil phosphoribosyltransferase	3126.16	0.31261601878509604
1.6.5.5	NADPH:quinone reductase	3094.67	0.3094670185958726
6.3.5.3	Phosphoribosylformylglycinamidine synthase	3069.65	0.3069650184455275
6.1.1.6	Lysine--tRNA ligase	3033.52	0.3033520182284222
4.2.1.20	Tryptophan synthase	2994.76	0.29947601799551343
2.4.1.129	Peptidoglycan glycosyltransferase	2994.69	0.2994690179950928
3.1.11.6	Exodeoxyribonuclease VII	2992.53	0.29925301798211335
5.3.1.9	Glucose-6-phosphate isomerase	2963.01	0.2963010178047277
2.7.7.8	Polyribonucleotide nucleotidyltransferase	2944.93	0.29449301769608494
6.3.4.4	Adenylosuccinate synthase	2919.41	0.2919410175427352
6.1.1.1	Tyrosine--tRNA ligase	2867.37	0.28673701723002687
2.7.2.4	Aspartate kinase	2861.43	0.2861430171943334
2.2.1.2	Transaldolase	2852.69	0.28526901714181474
6.1.1.17	Glutamate--tRNA ligase	2850.72	0.285072017129977
2.7.4.8	Guanylate kinase	2831.28	0.2831280170131621
1.8.1.4	Dihydrolipoyl dehydrogenase	2829.86	0.28298601700462933
6.1.1.19	Arginine--tRNA ligase	2817	0.2817000169273535
2.7.6.1	Ribose-phosphate diphosphokinase	2814.37	0.2814370169115499
1.1.1.205	IMP dehydrogenase	2793.13	0.2793130167839187
2.7.7.27	Glucose-1-phosphate adenylyltransferase	2780.28	0.2780280167067031
2.1.1.37	DNA (cytosine-5-)-methyltransferase	2773.94	0.27739401666860597
3.6.3.17	Transferred entry 7.5.2.8	2760.87	0.27608701659006835
6.3.1.2	Glutamine synthetase	2746.41	0.2746410165031782
3.4.16.4	Serine-type D-Ala-D-Ala carboxypeptidase	2703.22	0.2703220162436495
2.4.2.29	tRNA-guanine(34) transglycosylase	2696.97	0.2696970162060932
2.4.1.25	4-alpha-glucanotransferase	2696.49	0.2696490162032089
1.1.1.3	Homoserine dehydrogenase	2685.54	0.26855401613741037
6.1.1.9	Valine--tRNA ligase	2661.75	0.26617501599445625
6.3.5.2	GMP synthase (glutamine-hydrolyzing)	2650.29	0.2650290159255931
3.4.11.18	Methionyl aminopeptidase	2648.7	0.2648700159160388
6.1.1.3	Threonine--tRNA ligase	2647.41	0.2647410159082872
4.3.3.7	4-hydroxy-tetrahydrodipicolinate synthase	2646.05	0.264605015900115
7.1.2.2	H(+)-transporting two-sector ATPase	2636.5	0.263650015842729
1.11.1.15	Peroxiredoxin	2633.01	0.2633010158217576
2.7.1.33	Pantothenate kinase	2629.33	0.26293301579964445
4.1.2.40	Tagatose-bisphosphate aldolase	2615.77	0.26157701571816244
3.1.26.5	Ribonuclease P	2613.6	0.2613600157051229
6.1.1.11	Serine--tRNA ligase	2602.56	0.26025601563878353
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2591	0.2591000155693195
2.7.2.1	Acetate kinase	2581.42	0.25814201551175325
6.1.1.7	Alanine--tRNA ligase	2572.96	0.2572960154609171
2.7.1.11	6-phosphofructokinase	2543.32	0.2543320152828104
4.2.1.11	Phosphopyruvate hydratase	2533.93	0.25339301522638585
5.1.1.3	Glutamate racemase	2517.78	0.2517780151293405
3.5.1.88	Peptide deformylase	2504.24	0.2504240150479786
6.1.1.10	Methionine--tRNA ligase	2493.37	0.2493370149826608
5.99.1.2	Transferred entry 5.6.2.1	2489.63	0.24896301496018716
4.2.1.33	3-isopropylmalate dehydratase	2479.59	0.2479590148998568
2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific)	2470.39	0.247039014844574
3.1.11.5	Exodeoxyribonuclease V	2468.69	0.2468690148343587
1.8.1.9	Thioredoxin-disulfide reductase	2460.74	0.24607401478658708
3.1.22.4	Crossover junction endodeoxyribonuclease	2452.67	0.24526701473809454
