Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Lactobacillus crispatus GCA_016767795.1	47770	GCA_016767795.1	Bacteria	89.6	0.946417	0.2	6538738	6533887
s__Lactobacillus jensenii GCA_008726555.1	109790	GCA_008726555.1	Bacteria	3.5000000000000004	0.976753	0.117949	199110	255230
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	2.2	0.999761	0.999761	229292	160430
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	2.02	0.660991	0.659114	171227	147304
s__Bifidobacterium leopoldii GCA_013315195.1	2702	GCA_013315195.1	Bacteria	1.41	0.88757	0.138801	70979	102821
s__Limosilactobacillus portuensis GCA_902362445.1	2702	GCA_902362445.1	Bacteria	0.79	0.563338	0.147696	50613	57609
s__Bifidobacterium swidsinskii GCA_013315145.1	2702	GCA_013315145.1	Bacteria	0.22999999999999998	0.371952	0.010329	12401	16772
s__Limosilactobacillus vaginalis GCA_002553995.1	2042042	GCA_002553995.1	Bacteria	0.07	0.106064	0.012095	4682	5105
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.07	0.051768	0.014362	5972	5105
s__Bifidobacterium adolescentis	1680		Bacteria	0.02	0.077509	0.077509	1380	1458
s__Collinsella aerofaciens_I GCA_005845035.1	74426	GCA_005845035.1	Bacteria	0.02	0.014289	0.0123	1860	1458
Pseudoperonospora cubensis	143453	GCA_000252605.1	Protists	0.01	0.001827	0.001763	1831	729
Candida albicans SC5314	237561	GCA_000182965.3	Fungi	0.01	0.003034	0.003023	360	729
s__Holdemanella porci_A GCA_019052655.1	2652276	GCA_019052655.1	Bacteria	0.01	0.037092	0.014302	540	729
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	Bacteria	0.01	0.03691	0.03167	1320	729
s__Bradyrhizobium sp003020075 GCA_003020075.1	2133945	GCA_003020075.1	Bacteria	0.01	0.023247	0.01746	1980	729
