Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
2.7.13.3	Histidine kinase	25712.7	2.5712703289426138
3.6.4.12	DNA helicase	14443.4	1.4443401847744402
2.7.7.7	DNA-directed DNA polymerase	12044.5	1.2044501540853085
5.2.1.8	Peptidylprolyl isomerase	9964.95	0.996495127481622
1.6.5.11	NADH dehydrogenase (quinone)	7606.01	0.7606010973036986
2.7.7.6	DNA-directed RNA polymerase	6697.26	0.6697260856780584
3.6.3.17	Transferred entry 7.5.2.8	5573.34	0.5573340712997479
2.2.1.6	Acetolactate synthase	5207.13	0.5207130666148228
1.17.4.1	Ribonucleoside-diphosphate reductase	4669.38	0.46693805973538616
5.99.1.3	Transferred entry 5.6.2.2	4583.95	0.45839505864248
1.11.1.15	Peroxiredoxin	4065.58	0.4065580520109717
3.6.3.14	Transferred entry 7.1.2.2	3644.48	0.36444804662383873
4.2.1.2	Fumarate hydratase	3639.62	0.36396204656166475
2.7.7.65	Diguanylate cyclase	3477.37	0.34773704448600024
1.6.5.5	NADPH:quinone reductase	3449.14	0.34491404412485377
2.4.1.1	Glycogen phosphorylase	3387.83	0.33878304334051484
6.1.1.6	Lysine--tRNA ligase	3367.65	0.33676504308235206
6.1.1.20	Phenylalanine--tRNA ligase	3227.82	0.3227820412935066
5.1.1.1	Alanine racemase	3193.27	0.3193270408515084
3.1.4.52	Cyclic-guanylate-specific phosphodiesterase	3086.38	0.3086380394840645
3.2.1.23	Beta-galactosidase	3068.16	0.306816039250976
3.4.16.4	Serine-type D-Ala-D-Ala carboxypeptidase	3047.98	0.3047980389928132
3.1.11.5	Exodeoxyribonuclease V	2949.09	0.29490903772771326
2.6.1.16	Glutamine--fructose-6-phosphate transaminase (isomerizing)	2889.98	0.288998036971519
6.1.1.14	Glycine--tRNA ligase	2846.56	0.28465603641604686
6.5.1.2	DNA ligase (NAD(+))	2751.1	0.2751100351948269
3.6.4.13	RNA helicase	2749.82	0.2749820351784519
2.7.1.15	Ribokinase	2725.99	0.2725990348735946
4.3.1.19	Threonine ammonia-lyase	2680.63	0.2680630342933041
2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	2623.52	0.26235203356269576
1.4.1.13	Glutamate synthase (NADPH)	2600.21	0.26002103326449083
3.5.1.88	Peptide deformylase	2553.98	0.25539803267307043
3.4.21.92	Endopeptidase Clp	2551.95	0.2551950326471006
4.2.1.9	Dihydroxy-acid dehydratase	2549.98	0.2549980326218984
4.1.1.31	Phosphoenolpyruvate carboxylase	2547.61	0.254761032591579
2.7.1.40	Pyruvate kinase	2520.87	0.2520870322494941
7.2.1.1	NADH:ubiquinone reductase (Na(+)-transporting)	2507.43	0.25074303207755616
2.2.1.2	Transaldolase	2480.34	0.24803403173099375
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	2460.08	0.24600803147180753
1.7.99.4	Nitrate reductase	2452.05	0.24520503136907976
1.8.1.4	Dihydrolipoyl dehydrogenase	2436.86	0.24368603117475404
5.3.1.1	Triose-phosphate isomerase	2403.57	0.24035703074887504
2.7.1.69	2.7.1.208	2390.27	0.2390270305787281
3.5.4.2	Adenine deaminase	2368.06	0.23680603029459552
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	2346.46	0.23464603001826667
1.1.1.3	Homoserine dehydrogenase	2338.39	0.23383902991502714
