Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus	1279	88024.19	48.696999999999996	175772
Corynebacterium	1716	26833.55	14.844999999999999	901419
Micrococcus	1269	19732.74	10.915999999999999	97444
Propionibacterium	1743	12992.19	7.187	1612
Cutibacterium	1912216	12609.03	6.975	5659
Acinetobacter	469	6856.530000000001	3.792	5819
Pseudonocardia	1847	3190.56	1.765	15399
Kocuria	57493	1672.5	0.925	11930
Microbacterium	33882	1445.18	0.799	6434
Dermacoccus	57495	1159.63	0.642	14518
Pseudomonas	286	1061.55	0.5870000000000001	5166
Dolosigranulum	29393	662.35	0.366	11278
Enhydrobacter	212791	574.58	0.318	7301
Exiguobacterium	33986	414.92	0.22999999999999998	4863
Bacteroides	816	389.59	0.216	11253
Rothia	32207	359.17	0.199	4307
Lactobacillus	1578	324.82	0.18	23
Pseudoglutamicibacter	1742991	279.76	0.155	7314
Veillonella	29465	239.63	0.133	38
Paracoccus	265	236.86	0.131	7140
Brevibacterium	1696	221.98	0.123	7134
Actinomyces	1654	222.07	0.123	3607
Shewanella	22	214.82	0.11900000000000001	175
Finegoldia	150022	144.21	0.08	37
Bacillus	1386	111.19	0.062	12
Anaerococcus	165779	112.83	0.062	50
Granulicatella	117563	106.35	0.059000000000000004	21
Dermabacter	36739	107.55	0.059000000000000004	1060
Psychrobacter	497	102.3	0.056999999999999995	16
Herbaspirillum	963	98.34	0.054	76
Massilia	149698	98.08	0.054	3014
Paenibacillus	44249	82.41	0.046	2712
Clostridiales_u_g	186802	82.13	0.045	10
