Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	39.42	0.999042	0.999042	135719	119903
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	35.95	0.659523	0.657667	100698	109349
s__Corynebacterium striatum GCA_000159135.1	525268	GCA_000159135.1	Bacteria	7.139999999999999	0.393973	0.389373	21257	21718
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	1.9900000000000002	0.155274	0.106929	7064	6053
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	1.95	0.186181	0.186281	4339	5931
s__Corynebacterium phoceense GCA_900092335.1	1686286	GCA_900092335.1	Bacteria	1.7500000000000002	0.1524	0.149148	5329	5323
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	Bacteria	1.43	0.123813	0.074289	5005	4350
s__Pauljensenia turicensis GCA_000296505.1	883077	GCA_000296505.1	Bacteria	1.17	0.105853	0.10589	2521	3559
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	1.1	0.051708	0.014405	3123	3346
s__Corynebacterium amycolatum GCA_001807105.1	1581103	GCA_001807105.1	Bacteria	1.04	0.103158	0.010899	2870	3163
s__Vaginimicrobium propionicum GCA_900155645.1	1871034	GCA_900155645.1	Bacteria	0.74	0.071358	0.071374	1652	2251
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	0.59	0.062895	0.059026	1493	1795
s__Brevibacterium ravenspurgense GCA_001806795.1	1581055	GCA_001806795.1	Bacteria	0.45000000000000007	0.035764	0.015225	1139	1369
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	Bacteria	0.4099999999999999	0.069839	0.022438	800	1247
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.4099999999999999	0.08971	0.081787	821	1247
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	Bacteria	0.4099999999999999	0.046101	0.046096	812	1247
s__Streptococcus agalactiae GCA_000288295.1	1154944	GCA_000288295.1	Bacteria	0.38	0.054945	0.132013	902	1156
s__Corynebacterium simulans GCA_001586215.1	146827	GCA_001586215.1	Bacteria	0.38	0.046478	0.013408	1153	1156
s__Atopobium deltae GCA_001552785.1	1393034	GCA_001552785.1	Bacteria	0.38	0.043213	0.043198	610	1156
s__Olegusella massiliensis GCA_900078545.1	1776381	GCA_900078545.1	Bacteria	0.31	0.028004	0.027774	630	943
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	Bacteria	0.27	0.01828	0.011096	883	821
s__Propionimicrobium lymphophilum	33012		Bacteria	0.26	0.032965	0.026746	593	791
s__Trueperella bernardiae	59561		Bacteria	0.25	0.026026	0.018821	566	760
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.22	0.020278	0.017237	494	669
s__Peptoniphilus_C pacaensis GCA_900088125.1	1776390	GCA_900088125.1	Bacteria	0.22	0.01683	0.016727	458	669
s__Peptococcus niger GCA_900101835.1	2741	GCA_900101835.1	Bacteria	0.17	0.013472	0.013472	375	517
s__Peptoniphilus_B duerdenii GCA_000478945.1	1111133	GCA_000478945.1	Bacteria	0.16	0.032725	0.022898	347	487
s__Prevotella bergensis GCA_000160535.1	585502	GCA_000160535.1	Bacteria	0.15	0.012539	0.012207	525	456
g__Pseudoglutamicibacter	1742991		Bacteria	0.14	0.01934	0.01934	317	426
s__Anaerococcus vaginalis GCA_001812365.1	1739356	GCA_001812365.1	Bacteria	0.14	0.037351	0.01527	299	426
s__Porphyromonas_A somerae	322095		Bacteria	0.11	0.013516	0.013516	293	335
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.1	0.022022	0.014318	197	304
s__Anaerococcus vaginalis_C GCA_001815585.1	1739537	GCA_001815585.1	Bacteria	0.1	0.03898	0.012638	195	304
s__Dermabacter hominis	36740		Bacteria	0.08	0.012119	0.012182	210	243
s__Anaerococcus obesiensis GCA_000311745.1	1118056	GCA_000311745.1	Bacteria	0.08	0.033927	0.010293	168	243
s__Anaerococcus vaginalis_B GCA_000307225.1	33037	GCA_000307225.1	Bacteria	0.07	0.015397	0.014711	147	213
s__Anaerococcus lactolyticus	33032		Bacteria	0.07	0.007523	0.007523	165	213
