Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillus iners	147802	82.74	4868589	5243385
Ureaplasma parvum	134821	6.63	218941	420155
Enterococcus faecalis	1351	2.27	282387	143854
Staphylococcus epidermidis	1282	1.6	159259	101395
Finegoldia magna_H	1260	0.77	59919	48796
Allobacillus halotolerans	570278	0.35	38535	22180
Imtechella halotolerans	1165090	0.33	44487	20913
Finegoldia magna	1260	0.25	19555	15843
Anaerostipes hadrus	649756	0.22	26295	13942
Bifidobacterium pseudocatenulatum	28026	0.22	21785	13942
Bifidobacterium longum	216816	0.21	21933	13308
Blautia_A obeum	40520	0.16	24723	10139
Anaerococcus vaginimassiliensis	2042308	0.16	12127	10139
Corynebacterium tuberculostearicum	38304	0.15	16513	9506
Corynebacterium tuberculostearicum_C	38304	0.15	15757	9506
Mediterraneibacter torques	33039	0.14	16988	8872
Peptoniphilus_A grossensis	1465756	0.13	10074	8238
Blautia_A wexlerae	40520	0.12	23690	7605
Anaerococcus sp900258475	77133	0.12	12146	7605
Ruminiclostridium_E siraeum	39492	0.1	12327	6337
Pseudoruminococcus massiliensis	2086583	0.1	10494	6337
Finegoldia magna_F	1260	0.1	7864	6337
Bacteroides uniformis	820	0.1	20960	6337
Corynebacterium pyruviciproducens	598660	0.1	11814	6337
Blautia_A massiliensis	89014	0.09	14518	5703
Anaerostipes sp900066705	649756	0.09	12132	5703
Facklamia hominis	178214	0.08	6189	5070
Staphylococcus borealis	2742203	0.08	8657	5070
Phocaeicola dorei	357276	0.08	19694	5070
Porphyromonas_A somerae	322095	0.08	8142	5070
Gemmiger qucibialis	749906	0.07	10718	4436
Phocaeicola vulgatus	821	0.06	12048	3802
Alistipes shahii	328814	0.06	10505	3802
Porphyromonas_A sp001808555	1739394	0.06	5214	3802
Varibaculum timonense_A	1870994	0.06	5805	3802
Blautia_A faecis	871665	0.05	11491	3169
Lachnospira eligens	39485	0.05	6232	3169
Prevotella colorans	1703337	0.05	6608	3169
Alistipes putredinis	28117	0.05	5836	3169
Akkermansia muciniphila_B	239935	0.05	6765	3169
Bradyrhizobium sp003020075	2057741	0.05	15465	3169
Lachnospira eligens_A	39485	0.04	4187	2535
Eisenbergiella sp900066775	749906	0.04	6759	2535
Faecalibacterium prausnitzii_D	853	0.04	4417	2535
Faecalibacterium longum	1851428	0.04	5477	2535
Peptoniphilus_A lacrimalis	33031	0.04	2843	2535
Barnesiella intestinihominis	487174	0.04	5390	2535
Staphylococcus aureus	1280	0.03	4600	1901
Oliverpabstia intestinalis	2606633	0.03	4429	1901
Faecalibacterium prausnitzii_A	853	0.03	3282	1901
Faecalibacterium sp900758465	216851	0.03	2640	1901
Faecalibacterium duncaniae	411483	0.03	4929	1901
Gemmiger formicilis	745368	0.03	4918	1901
Collinsella aerofaciens_P	74426	0.03	2633	1901
Collinsella aerofaciens_S	74426	0.03	3004	1901
Collinsella sp900551605	74426	0.03	2761	1901
Collinsella aerofaciens_Q	74426	0.03	3388	1901
Adlercreutzia hattorii	2707299	0.03	4238	1901
Streptococcus thermophilus	1308	0.02	1929	1267
Falseniella ignava	137730	0.02	1591	1267
Blautia_A caecimuris	1796615	0.02	2691	1267
Anaerostipes hadrus_A	649756	0.02	1985	1267
Dorea_A longicatena_B	88431	0.02	3116	1267
Bariatricus comes	410072	0.02	2500	1267
Faecalibacterium prausnitzii_J	853	0.02	2980	1267
Faecalibacterium prausnitzii	853	0.02	2072	1267
Agathobaculum butyriciproducens	1628085	0.02	1949	1267
Evtepia gabavorous	2211183	0.02	2513	1267
Anaerococcus prevotii	33034	0.02	1359	1267
Anaerococcus marasmi	2057797	0.02	1775	1267
Anaerococcus obesiensis	1287640	0.02	1535	1267
Anaerococcus vaginalis_C	77133	0.02	1446	1267
Anaerococcus jeddahensis	1673719	0.02	1892	1267
Anaerococcus lactolyticus	33032	0.02	2152	1267
Peptoniphilus_A harei	54005	0.02	1831	1267
Fenollaria timonensis	1723384	0.02	1252	1267
Bacteroides cellulosilyticus	246787	0.02	5874	1267
Parabacteroides distasonis	823	0.02	5906	1267
Porphyromonas_A bennonis	501496	0.02	1660	1267
Collinsella aerofaciens_F	74426	0.02	1579	1267
Collinsella aerofaciens_G	74426	0.02	1924	1267
Collinsella aerofaciens_J	74426	0.02	1983	1267
Collinsella aerofaciens_W	74426	0.02	2343	1267
Collinsella aerofaciens_Y	74426	0.02	2211	1267
Collinsella aerofaciens_M	74426	0.02	1990	1267
Adlercreutzia equolifaciens	446660	0.02	2305	1267
Desulfovibrio legallii	571438	0.02	2006	1267
Bradyrhizobium viridifuturi	1654716	0.02	8130	1267
Negativicoccus succinicivorans	620903	0.02	860	1267
Streptococcus salivarius	1304	0.01	833	634
Lactococcus lactis	1358	0.01	631	634
Allobacillus salarius	1955272	0.01	1029	634
Thomasclavelia saccharogumia	341225	0.01	1280	634
Clostridium_AQ sp000165065	1522	0.01	1553	634
Blautia_A sp900120195	1917876	0.01	973	634
Blautia_A sp900066505	536633	0.01	2062	634
Lachnospira sp003451515	515620	0.01	843	634
Lachnospira sp900316325	1242245	0.01	976	634
Oliverpabstia faecicola	2509240	0.01	1527	634
Roseburia intestinalis	166486	0.01	1846	634
Copromonas sp000435795	186803	0.01	858	634
Ruminococcus_B gnavus	408170	0.01	1031	634
Ruthenibacterium lactatiformans	1550024	0.01	1305	634
Dysosmobacter welbionis	2093857	0.01	1078	634
