Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Bacteroides fragilis GI 46242796		-	13275.67	4.051	0.920983	0.920983	6883
Bacteroides fragilis GENE bmhA		-	11915.49	3.636	0.95339	0.95339	3867
Enterococcus faecium GI 21886745		-	11898.47	3.6310000000000002	1	0.983923	189
Bacteroides fragilis GENE rteC		-	11409.87	3.4819999999999998	1	1	1042
Bacteroides fragilis GENE tetQ		-	11244.21	3.4320000000000004	0.976056	0.976056	2749
Bacteroides fragilis GENE exc		-	11145.49	3.401	0.967785	0.967785	2831
Bacteroides fragilis GENE rteA		-	10670.5	3.256	0.94772	0.94772	3081
Bacteroides fragilis GI 46242799		-	10491.88	3.202	0.917647	0.917647	880
Staphylococcus aureus GI 33390919		-	10083.12	3.077	0.939698	0.961039	892
Bacteroides fragilis GENE rteB		-	9803.25	2.992	0.96696	0.96696	1556
Bacteroides fragilis GENE mobB		-	9740.29	2.973	0.995181	0.995181	1394
Enterococcus faecalis GI 48190		-	9414.67	2.8729999999999998	0.522979	0.522979	2941
Bacteroides fragilis GI 46242805		-	9307.28	2.8400000000000003	1	1	733
Bacteroides fragilis GENE mobC		-	9138.82	2.789	0.920261	0.920261	2098
Bacteroides fragilis GI 46242808		-	8957.47	2.734	1	1	540
Bacteroides fragilis GI 46242811		-	8860.83	2.704	0.972973	0.972973	357
Bacteroides fragilis GENE mobA		-	8586.97	2.621	0.919463	0.919463	585
Enterococcus faecium GENE sat4		-	8467.27	2.5839999999999996	0.963636	0.963636	585
Bacteroides fragilis GI 46242807		-	8239.51	2.5149999999999997	0.924949	0.924949	1235
Bacteroides fragilis GI 46242797		-	8233.42	2.513	0.959831	0.959831	1133
Bacteroides fragilis GI 46242810		-	8120.67	2.478	0.989247	0.989247	358
Enterococcus faecium GI 21886752		-	7764.69	2.37	0.837838	0.837838	953
Streptococcus pyogenes GI 52345264		-	7430	2.267	0.692529	0.692529	1105
Enterococcus faecium GENE ermB		-	7362.37	2.247	0.85755	0.85755	864
Bacteroides fragilis GENE int		-	7300.99	2.228	0.833333	0.833333	878
Bacteroides fragilis GENE rhuM		-	6850.92	2.091	1	1	261
Streptococcus pyogenes GENE msrD		-	6270.49	1.9140000000000001	0.678899	0.678899	1153
Enterococcus faecium GENE aadE		-	5997.31	1.83	0.665722	0.665722	802
Pseudomonas aeruginosa GENE intI1		-	5287.5	1.614	0.98	0.98	109
Parabacteroides distasonis GI 32395281		-	5068.67	1.547	1	1	65
Bacteroides fragilis GI 46242809		-	4929.51	1.504	0.68595	0.68595	264
Staphylococcus aureus GENE blaI		-	4685.88	1.43	0.724868	0.724868	282
Parabacteroides distasonis GI 32395282		-	4483.72	1.3679999999999999	0.73913	0.73913	167
Staphylococcus aureus GI 33390966		-	4018.84	1.226	0.672316	0.672316	288
Bacteroides vulgatus GI 33413459		-	3901.65	1.191	0.810526	0.810526	94
Escherichia coli GENE qacEdelta1		-	3834.06	1.17	1	1	37
Proteus mirabilis GENE tnpA		-	3732.07	1.139	1	1	32
Streptococcus pyogenes GI 52345271		-	3407.3	1.04	0.632184	0.632184	153
Streptococcus intermedius GENE tetS		-	3285.74	1.0030000000000001	0.455914	0.455914	694
Enterococcus faecium GI 21886746		-	3256.21	0.9939999999999999	0.714286	0.714286	66
Staphylococcus aureus GENE AACA-APHD		-	3213.48	0.9809999999999999	0.471831	0.471831	462
Staphylococcus aureus GENE blaR1		-	2942.58	0.898	0.403135	0.403135	658
Staphylococcus epidermidis GeneID SEA1545		-	2926.23	0.893	0.576577	0.576577	128
Staphylococcus aureus GENE thyA		-	2763.93	0.843	0.40458	0.40458	411
Streptococcus pneumoniae GENE cps4D		-	2566.61	0.783	0.431373	0.431373	204
Escherichia coli GENE yehA		-	1997.16	0.609	0.666667	0.666667	16
Enterococcus faecalis GENE cylL-s		-	1855.23	0.5660000000000001	0.45122	0.425287	57
Citrobacter freundii GENE orf40		-	1537.76	0.469	0.406977	0.406977	35
