Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage CNPH82	398839	3524.19	27.577	0.114409	0.355126	8386
Staphylococcus phage Ipla5	1197952	2962.67	23.183	0.090682	0.32346	8994
Staphylococcus phage Ipla7	1197953	2680.43	20.974999999999998	0.083828	0.308792	7959
Staphylococcus phage PH15	399185	2288.49	17.907999999999998	0.084356	0.261756	8723
Staphylococcus phage P954	668618	327.38	2.562	0.01082	0.053318	98
unclassified Siphoviridae	196894	175.51	1.373	0.030418	0.030418	72
Staphylococcus phage phi2958PVL	430796	170.44	1.3339999999999999	0.011895	0.029149	15
Human immunodeficiency virus 1	11676	167.24	1.309	0.034314	0.034314	89
Staphylococcus phage StB20	1147043	126.93	0.993	0.014684	0.015246	816
Staphylococcus phage tp310-1	445515	117.27	0.918	0.035565	0.02163	17
Human papillomavirus type 49	10616	111.65	0.874	0.023641	0.023641	90
Human papillomavirus type 50	40539	65.26	0.511	0.015235	0.015235	58
unclassified bacterial viruses	12333	61.77	0.483	0.011079	0.011286	35
