Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacterium acnes KPA171202	267747	212188.34	76.228	4460
Staphylococcus epidermidis NIHLM037	979210	26602.2	9.557	133
Corynebacterium sp. KPL1856_u_t	1203563	16029.38	5.759	64
Propionibacterium sp. KPL1844_u_t	1203573	9790.55	3.517	106893
Cutibacterium granulosum DSM 20700	1160719	4889.09	1.756	15419
Staphylococcus capitis QN1	1189311	2651.22	0.9520000000000001	1287
[Propionibacterium] namnetense SK182B-JCVI	1051006	2166.01	0.7779999999999999	39078
Corynebacterium tuberculostearicum SK141	553206	1076.09	0.387	2156
Corynebacterium pseudogenitalium ATCC 33035	525264	1032.71	0.371	2734
Corynebacterium propinquum DSM 44285	1121367	270.4	0.097	5546
Caulobacter sp. JGI 0001013-D04_u_t	1157680	252.21	0.091	4185
Rothia dentocariosa	2047	222.95	0.08	1477
Micrococcus luteus	1270	196.31	0.07100000000000001	42
Streptococcus_u_t	1301	189.19	0.068	9
Staphylococcus caprae M23864:W1	525378	160.76	0.058	3093
Propionibacterium_u_t	1743	149.92	0.054	27
Staphylococcus aureus	1280	128.5	0.046	120
Abiotrophia defectiva ATCC 49176	592010	113.7	0.041	2005
Neisseriaceae_u_t	481	86.88	0.031	14
Rothia aeria	172042	84.88	0.03	356
Propionibacteriaceae_u_t	31957	77.17	0.027999999999999997	183
