Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage Ipla7	1197953	7472.31	25.824	0.304366	0.224129	38489
Staphylococcus phage PH15	399185	2482.29	8.579	0.040664	0.096723	5837
Staphylococcus phage StB20	1147043	2051.86	7.091	0.117092	0.152429	9079
Staphylococcus phage JS01	1273712	1587.89	5.4879999999999995	0.033054	0.168692	123
unclassified Siphoviridae	196894	1571.69	5.432	0.082418	0.175798	222
Staphylococcus phage PT1028	320831	1403.23	4.849	0.159007	0.159007	2537
Staphylococcus phage TEM123	1168613	1310.09	4.5280000000000005	0.029921	0.250445	93
Staphylococcus phage PVL	71366	1294.2	4.473	0.01631	0.153053	22
Staphylococcus phage phiBU01	1519999	1212.01	4.189	0.026087	0.256208	42
Staphylococcus phage 85	59506	980.7	3.3890000000000002	0.028064	0.219577	68
Staphylococcus phage 11	12360	914.78	3.161	0.019397	0.213154	18
Staphylococcus phage 69	320834	834.32	2.883	0.019089	0.2004	64
Staphylococcus phage P954	668618	807.71	2.791	0.044262	0.209883	286
Staphylococcus phage SA12	1347760	784.91	2.713	0.016321	0.249275	37
Staphylococcus phage phiETA2	326036	653.57	2.259	0.016562	0.192117	81
Staphylococcus phage phiMR25	487152	607.77	2.1	0.016471	0.183857	118
Staphylococcus phage StauST398-5	1308897	595.37	2.0580000000000003	0.09902	0.083411	164
Staphylococcus phage CNPH82	398839	475.01	1.6420000000000001	0.040551	0.051735	910
Staphylococcus phage phiPVL-CN125	648017	442.38	1.529	0.023116	0.060286	40
Siphoviridae	10699	385.49	1.332	0.189723	0.026838	1204
Staphylococcus phage 42E	320837	349.44	1.208	0.015512	0.047752	116
Staphylococcus phage Ipla5	1197952	241.65	0.835	0.012107	0.034712	297
Staphylococcus phage StB12	1147042	166.89	0.577	0.010917	0.012825	1469
Staphylococcus phage 80alpha	53369	151.78	0.525	0.040698	0.253938	19
Staphylococcus phage tp310-2	445516	125.91	0.43499999999999994	0.040668	0.020482	249
Pa6virus	1982251	32.59	0.11299999999999999	0.014663	0.009804	20
