Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcaceae	1300	34.14	108597	128743
Lactobacillaceae	33958	28.15	81040	106154
Alkalibacillaceae	186817	11.97	47105	45139
Flavobacteriaceae	49546	11.39	55071	42952
Enterobacteriaceae	543	2.56	18471	9654
Staphylococcaceae	90964	2.49	8953	9389
Enterococcaceae	81852	2.08	8572	7844
Xanthobacteraceae	335928	1.9600000000000002	24186	7392
Actinomycetaceae	2049	1.15	3779	4336
Lachnospiraceae	186803	0.72	4160	2714
Bifidobacteriaceae	31953	0.71	2869	2677
Propionibacteriaceae	31957	0.7	2713	2640
Peptoniphilaceae	1570339	0.41000000000000003	1158	1546
Burkholderiaceae_B	80864	0.38	3992	1433
Burkholderiaceae	119060	0.2	1489	754
Aerococcaceae	186827	0.16	449	603
Erysipelotrichaceae	128827	0.14	670	528
Veillonellaceae	31977	0.14	453	528
Rhizobiaceae	82115	0.13	1015	490
Beijerinckiaceae	45404	0.1	876	377
Mycobacteriaceae	1762	0.06	262	226
Acidaminococcaceae	909930	0.06	206	226
Ruminococcaceae	216572	0.05	237	189
Coprobacillaceae	2810280	0.04	201	151
Oscillospiraceae	216572	0.04	207	151
UBA1381	186801	0.04	201	151
Eggerthellaceae	1643826	0.04	170	151
