Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetia	1760	35.03	1503048	1475042
Bacilli	91061	26.860000000000003	949587	1131019
Bacteroidia	200643	21.219999999999995	1149411	893530
Clostridia	186801	13.39	486961	563823
Coriobacteriia	84998	1.8300000000000003	53199	77057
Negativicutes	909932	0.6500000000000001	17908	27369
Campylobacteria	29547	0.53	17149	22317
Synergistia	649775	0.33	11483	13896
Alphaproteobacteria	28211	0.11	16975	4631
Peptococcia	186801	0.04	1632	1684
Desulfovibrionia	28221	0.03	2913	1263
Fusobacteriia	203490	0.01	526	421
