Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Escherichia coli	562		Bacteria	91.98	0.821429	0.821429	17171556	16434776
s__Enterococcus faecalis	1351		Bacteria	2.61	0.900422	0.079096	256272	466349
s__Aerococcus urinae_B GCA_001811135.1	1739288	GCA_001811135.1	Bacteria	2.41	0.876935	0.841653	162237	430613
s__Aerococcus urinae_D GCA_001809895.1	1715159	GCA_001809895.1	Bacteria	0.65	0.925126	0.905727	49403	116141
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	0.45000000000000007	0.905101	0.905101	49633	80405
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	0.44	0.605852	0.603689	40213	78618
s__Salmonella enterica	28901		Bacteria	0.31	0.6	0.6	50634	55390
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.27	0.376892	0.316307	19516	48243
s__Bifidobacterium breve GCA_002914865.1	1685	GCA_002914865.1	Bacteria	0.1	0.274127	0.266428	8450	17868
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	Bacteria	0.09	0.254479	0.254239	5249	16081
s__Actinotignum schaalii_A GCA_000411135.1	883067	GCA_000411135.1	Bacteria	0.09	0.187614	0.099071	6664	16081
s__Aerococcus sp001809535	119206		Bacteria	0.08	0.339796	0.337008	6137	14294
s__Aerococcus urinae_A GCA_000193205.1	2976812	GCA_000193205.1	Bacteria	0.07	0.30755	0.019788	5164	12507
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	0.07	0.257428	0.251898	6082	12507
s__Bifidobacterium longum GCA_002075935.1	216816	GCA_002075935.1	Bacteria	0.04	0.115641	0.108562	3736	7147
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	Bacteria	0.03	0.112345	0.054139	1868	5360
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	Bacteria	0.03	0.102886	0.102671	2040	5360
s__Streptococcus sp001553685 GCA_001808865.1	1715207	GCA_001808865.1	Bacteria	0.02	0.041559	0.016789	1572	3574
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.02	0.146309	0.133237	1347	3574
s__Ezakiella peruensis GCA_900215725.1	1464038	GCA_900215725.1	Bacteria	0.02	0.064268	0.063932	1067	3574
Melampsora pinitorqua Mpini7	1298852	GCA_000464645.1	Fungi	0.01	0.003843	0.003914	901	1787
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	Bacteria	0.01	0.018996	0.031461	2782	1787
s__Streptococcus anginosus_C	1328		Bacteria	0.01	0.037561	0.038621	534	1787
s__Streptococcus pseudopneumoniae_L GCA_001811305.1	1739299	GCA_001811305.1	Bacteria	0.01	0.043015	0.022709	905	1787
s__Streptococcus sp001808705 GCA_001808705.1	1715098	GCA_001808705.1	Bacteria	0.01	0.046571	0.018568	1076	1787
s__Streptococcus pseudopneumoniae_M GCA_000148975.2	871237	GCA_000148975.2	Bacteria	0.01	0.031202	0.01006	712	1787
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	Bacteria	0.01	0.030972	0.01524	534	1787
s__Globicatella sanguinis GCA_001811625.1	1739315	GCA_001811625.1	Bacteria	0.01	0.032915	0.032635	712	1787
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.01	0.047707	0.013001	872	1787
s__Staphylococcus aureus GCA_013371405.1	1280	GCA_013371405.1	Bacteria	0.01	0.043626	0.064199	1097	1787
g__Alloscardovia	419014		Bacteria	0.01	0.503546	0.37234	652	1787
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	Bacteria	0.01	0.063724	0.011484	674	1787
s__Gleimia urinae GCA_900119695.1	1689268	GCA_900119695.1	Bacteria	0.01	0.028988	0.024605	578	1787
s__Winkia sp002849225	29318		Bacteria	0.01	0.018719	0.018378	532	1787
s__Pauljensenia radingae_A	1673722		Bacteria	0.01	0.012383	0.012383	767	1787
s__Corynebacterium sp001815985 GCA_001815965.1	1581056	GCA_001815965.1	Bacteria	0.01	0.024135	0.013088	534	1787
s__Corynebacterium imitans GCA_000739455.1	156978	GCA_000739455.1	Bacteria	0.01	0.04084	0.040559	1065	1787
s__Porphyromonas_A somerae GCA_000372405.1	1122975	GCA_000372405.1	Bacteria	0.01	0.021558	0.014857	623	1787
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	Bacteria	0.01	0.050718	0.043422	889	1787
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.01	0.054591	0.028635	534	1787
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	Bacteria	0.01	0.040604	0.040699	623	1787
s__Urinicoccus timonensis	2024205		Bacteria	0.01	0.020482	0.01746	534	1787
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	Bacteria	0.01	0.014027	0.013975	801	1787
