Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Cutibacterium	1912216	413564.85	39.788	379559
Propionibacterium	1743	362088.98	34.836	42740
Staphylococcus	1279	140207.43000000002	13.489999999999998	43601
Peptoniphilus	162289	37559.56999999999	3.614	730759
Corynebacterium	1716	17663.99	1.6969999999999998	132336
Micrococcus	1269	14737.14	1.418	120952
Anaerococcus	165779	7552.43	0.726	145043
Jonquetella	428711	5454.76	0.525	1330
Negativicoccus	909928	4334.34	0.41700000000000004	31373
Acinetobacter	469	3950.3	0.38	4345
Prevotella	838	2584.41	0.248	26598
Nesterenkonia	57494	2565.98	0.247	56446
Finegoldia	150022	2542.05	0.245	29040
Tissierellia_u_g	1737404	2309.28	0.22200000000000003	21222
Campylobacter	194	2277.44	0.219	15739
Clostridioides	1870884	2173.01	0.209	5231
Propionimicrobium	203133	1908.08	0.184	5409
Streptococcus	1301	1874.52	0.18	708
Facklamia	66831	1845	0.178	14794
Actinomyces	1654	1472.5	0.142	22498
Lactobacillus	1578	1383.6200000000001	0.13199999999999998	1908
Porphyromonas	836	1032.21	0.099	8352
Pseudoglutamicibacter	1742991	966.55	0.093	19628
Ochrobactrum	528	965.96	0.093	19848
Kocuria	57493	719.1600000000001	0.069	22816
Brevibacterium	1696	548.25	0.053	12366
Gardnerella	2701	429.55	0.041	194
Helcococcus	31983	400.27	0.039	30
Haematobacter	366614	400.69	0.039	8861
Brachybacterium	43668	308.29	0.03	6504
Aerococcus	1375	274.6	0.026999999999999996	2452
Microbacterium	33882	269.39	0.026	1139
Actinotignum	1653174	272.48	0.026	5526
Varibaculum	184869	256.08	0.025	3822
Pseudomonas	286	260.38	0.025	4093
Fenollaria	1686313	222.25	0.021	3083
Scardovia	196081	196.61	0.019	2821
Acidipropionibacterium	1912215	178.26999999999998	0.017	3590
Kallipyga	1472763	177.91	0.017	2151
Dialister	39948	177.15	0.017	1513
Dermabacter	36739	145.49	0.013999999999999999	1130
Coriobacteriaceae_u_g	84107	146.09	0.013999999999999999	2431
Enterococcus	1350	147.24	0.013999999999999999	15
Christensenella	990721	125.87	0.012	404
Proteus	583	112.35	0.011000000000000001	120
Rothia	32207	104.67	0.01	821
Pseudonocardia	1847	100.46	0.01	5047
Klebsiella	570	88.4	0.009000000000000001	276
Empedobacter	59734	91.06	0.009000000000000001	71
Dietzia	37914	86.52	0.008	17
Mobiluncus	2050	86.57	0.008	60
Paracoccus	265	76.37	0.006999999999999999	242
