Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacteriaceae	31953	58.160000000000004	11758753	11525153
Actinomycetaceae	2049	21.829999999999995	3679964	4325896
Bacteroidaceae	815	5.41	1392483	1072060
Peptoniphilaceae	1570339	4.919999999999998	736397	974962
Lactobacillaceae	33958	2.84	494229	562783
Mycobacteriaceae	1762	2.6	548434	515223
Staphylococcaceae	90964	1.5699999999999998	283200	311115
Enterobacteriaceae	543	0.8	321686	158530
Xanthobacteraceae	335928	0.5499999999999999	379707	108991
Aerococcaceae	186827	0.34	56677	67375
Propionibacteriaceae	31957	0.23000000000000004	41306	45578
Dialisteraceae	31977	0.22999999999999998	23077	45577
Flavobacteriaceae	49546	0.15	36923	29724
Alkalibacillaceae	186817	0.14	28503	27743
Eggerthellaceae	1643826	0.05	16153	9908
Porphyromonadaceae	171551	0.05	9023	9909
Campylobacteraceae	72294	0.03	4791	5945
Streptococcaceae	1300	0.02	1986	3964
Moraxellaceae	468	0.01	2074	1982
Negativicoccaceae	31977	0.01	923	1982
