Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Propionibacterium phage P105	1229788	297494.85	73.981	0.26773	0.359373	339245
Pa6virus	1982251	78967.88	19.637999999999998	0.082437	0.082437	4766
Staphylococcus phage StB20	1147043	21330.35	5.303999999999999	0.32899	0.317939	189415
Staphylococcus phage Ipla5	1197952	605.78	0.151	0.046473	0.038702	3192
Lactobacillus phage phi jlb1	1416334	557.8	0.13899999999999998	0.054432	0.074776	765
Staphylococcus phage Ipla7	1197953	437.01	0.109	0.01844	0.019743	2315
Lactobacillus prophage Lj771	139871	416.18	0.10300000000000001	0.049982	0.054455	1176
Staphylococcus phage PH15	399185	390.64	0.097	0.010718	0.017481	2326
Lactobacillus phage phiadh	12417	364.93	0.091	0.048096	0.048772	1280
Human immunodeficiency virus 1	11676	359.6	0.089	0.042279	0.042279	312
Staphylococcus phage CNPH82	398839	326.98	0.08099999999999999	0.025055	0.024856	1607
Staphylococcus phage 80alpha	53369	244.68	0.061	0.040698	0.042526	14
Staphylococcus phage StB27	1147044	228.78	0.056999999999999995	0.022957	0.021561	1841
Staphylococcus phage StB12	1147042	130.54	0.032	0.01642	0.01596	963
Equine infectious anemia virus	11665	122.38	0.03	0.018813	0.018813	209
Phifelvirus	1623299	80.37	0.02	0.016569	0.016569	94
Sextaecvirus	1922243	64.87	0.016	0.01025	0.01025	223
