Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcaceae	1300	17.650000000000002	280783	339248
Flavobacteriaceae	49546	17.46	433940	335596
Actinomycetaceae	2049	16.520000000000007	296711	317529
Alkalibacillaceae	186817	16.03	324125	308110
Peptoniphilaceae	1570339	11.649999999999999	171110	223924
Bacteroidaceae	815	10.21	237085	196246
Propionibacteriaceae	31957	2.4099999999999997	40109	46323
Aerococcaceae	186827	1.83	26757	35174
Campylobacteraceae	72294	1.1900000000000002	15868	22873
Porphyromonadaceae	171551	1.1700000000000002	19982	22488
Enterococcaceae	81852	1.14	24060	21912
Mycobacteriaceae	1762	1	19995	19221
Staphylococcaceae	90964	0.85	16783	16338
Peptococcaceae	186807	0.26	4129	4997
Negativicoccaceae	31977	0.22	2288	4229
Fusobacteriaceae	203492	0.16999999999999998	3030	3267
Dialisteraceae	31977	0.07	1062	1345
Carnobacteriaceae	186828	0.04	521	769
Dermabacteraceae	85020	0.04	751	769
Burkholderiaceae	119060	0.03	1005	577
Eggerthellaceae	1643826	0.03	521	577
Xanthobacteraceae	335928	0.02	930	384
Lachnospiraceae	186803	0.01	298	192
Veillonellaceae	31977	0.01	242	192
