Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StB20	1147043	28638.74	69.667	0.278565	0.278437	250587
Staphylococcus phage CNPH82	398839	3994.06	9.716	0.071242	0.116559	16810
Staphylococcus phage Ipla5	1197952	3257.22	7.924	0.046708	0.106077	17137
Staphylococcus phage PH15	399185	1594	3.878	0.032155	0.073737	7225
Staphylococcus phage Ipla7	1197953	1511.82	3.678	0.042921	0.079439	6253
Staphylococcus phage 80alpha	53369	1101.98	2.681	0.046512	0.042945	161
Propionibacterium phage P14.4	1229784	193.49	0.471	0.014637	0.034068	74
Human immunodeficiency virus 1	11676	177.8	0.43299999999999994	0.034926	0.034926	101
Staphylococcus phage 6ec	1500386	121.66	0.296	0.015428	0.02023	733
Propionibacterium phage P9.1	1229782	103.5	0.252	0.010104	0.020569	44
Propionibacterium phage ATCC29399B_C	1229794	98.72	0.24	0.019863	0.020031	32
Propionibacterium phage P100_1	1229791	92.2	0.22399999999999998	0.010577	0.018497	43
Equine infectious anemia virus	11665	79.74	0.194	0.012783	0.012783	154
Streptococcus phage 20617	1392231	72.77	0.17700000000000002	0.012502	0.011867	319
unclassified Myoviridae	196896	70.34	0.17099999999999999	0.016239	0.016239	38
