Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
3.6.4.12	DNA helicase	18949.8	1.8949802156866498
2.7.1.69	2.7.1.208	16800.6	1.6800601912244522
2.7.7.7	DNA-directed DNA polymerase	15545.4	1.5545401769377643
2.7.13.3	Histidine kinase	15278.3	1.5278301738976314
2.7.7.6	DNA-directed RNA polymerase	9150.89	0.9150891041554424
5.2.1.8	Peptidylprolyl isomerase	8805.77	0.8805771002272863
5.99.1.3	Transferred entry 5.6.2.2	6156.94	0.6156940700782995
6.1.1.20	Phenylalanine--tRNA ligase	4990.96	0.4990960568071136
1.11.1.15	Peroxiredoxin	4912.58	0.49125805591499233
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	4825.46	0.4825460549233923
1.17.4.1	Ribonucleoside-diphosphate reductase	4628.79	0.4628790526848941
6.3.5.3	Phosphoribosylformylglycinamidine synthase	4625.53	0.46255305264778884
2.4.2.9	Uracil phosphoribosyltransferase	4248.28	0.4248280483539288
4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase	4139.26	0.4139260471130631
6.1.1.14	Glycine--tRNA ligase	4011.52	0.40115204565912616
3.5.1.88	Peptide deformylase	3593.49	0.3593490409011081
2.7.7.23	UDP-N-acetylglucosamine diphosphorylase	3519.14	0.3519140400548563
3.1.1.29	Aminoacyl-tRNA hydrolase	3492.98	0.34929803975710316
3.1.26.4	Ribonuclease H	3470.24	0.3470240394982764
3.1.11.6	Exodeoxyribonuclease VII	3424.58	0.3424580389785743
6.1.1.11	Serine--tRNA ligase	3367.32	0.3367320383268409
2.7.6.1	Ribose-phosphate diphosphokinase	3352.31	0.33523103815599703
2.8.1.7	Cysteine desulfurase	3331.06	0.3331060379141295
3.1.26.5	Ribonuclease P	3282.85	0.3282850373654032
1.8.1.4	Dihydrolipoyl dehydrogenase	3274.09	0.3274090372656969
5.99.1.2	Transferred entry 5.6.2.1	3238.02	0.3238020368551481
3.2.1.86	6-phospho-beta-glucosidase	3088.72	0.30887203515581524
1.5.1.2	Pyrroline-5-carboxylate reductase	3073.91	0.30739103498724785
2.7.1.144	Tagatose-6-phosphate kinase	3042.7	0.3042700346320155
5.4.2.11	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	3009.61	0.3009610342553852
3.4.11.18	Methionyl aminopeptidase	2982.59	0.2982590339478435
2.7.4.8	Guanylate kinase	2967.98	0.29679803378155245
3.4.21.92	Endopeptidase Clp	2940.5	0.29405003346877506
2.7.2.1	Acetate kinase	2932.23	0.2932230333746459
5.3.1.1	Triose-phosphate isomerase	2926.67	0.29266703331136196
3.4.21.89	Signal peptidase I	2925.67	0.29256703329997996
1.1.1.205	IMP dehydrogenase	2922.81	0.29228103326742744
6.1.1.2	Tryptophan--tRNA ligase	2893.9	0.2893900329383738
6.1.1.4	Leucine--tRNA ligase	2862.67	0.28626703258291386
3.5.1.2	Glutaminase	2814.58	0.2814580320355534
6.1.1.1	Tyrosine--tRNA ligase	2788.76	0.2788760317416702
3.5.4.16	GTP cyclohydrolase I	2774.51	0.27745103157947665
2.7.1.33	Pantothenate kinase	2774.01	0.27740103157378565
3.2.1.17	Lysozyme	2767.18	0.27671803149604657
