Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus epidermidis	1282	65085.76	88.655	864
Staphylococcus warneri	1292	1248.37	1.7000000000000002	246
Enhydrobacter aerosaccus SK60	553217	915.61	1.247	8700
Micrococcus luteus	1270	897.92	1.2229999999999999	766
Propionibacteriaceae_u_t	31957	688.51	0.938	78
Acinetobacter lwoffii SH145	575588	568.99	0.775	400
Acinetobacter sp. CIP 101966_u_t	1144662	559.46	0.762	334
Paenibacillus sophorae S27	682957	517.64	0.705	5846
Staphylococcus capitis QN1	1189311	316.57	0.43099999999999994	148
Staphylococcus_u_t	1279	297.45	0.40499999999999997	801
Bacillus thermoamylovorans	35841	271.61	0.37	207
Aerococcus viridans ATCC 11563 = CCUG 4311	655812	255.08	0.347	2264
Acinetobacter johnsonii SH046	575586	248.73	0.33899999999999997	935
Rothia mucilaginosa	43675	242.37	0.33	1013
Haemophilus parahaemolyticus	735	195.88	0.267	605
Streptococcus sanguinis	1305	183.41	0.25	6
Staphylococcus sp. MDS7B_u_t	1209359	162.47	0.22100000000000003	529
Streptococcus_u_t	1301	130.98	0.178	15
Acinetobacter_u_t	469	121.58	0.166	368
Brevundimonas_u_t	41275	121.08	0.165	39
[Propionibacterium] namnetense SK182B-JCVI	1051006	115.37	0.157	2606
Kocuria_u_t	57493	109.01	0.148	13
Staphylococcus hominis	1290	82.28	0.11199999999999999	32
Streptococcus mitis	28037	78.53	0.107	593
