Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetales	2037	29.209999999999994	1164559	1196966
Lactobacillales	186826	25.479999999999997	906316	1044116
Tissierellales	1737405	13.489999999999997	485567	552790
Mycobacteriales	85010	6.9399999999999995	309326	284386
Bacteroidales	171549	6.24	343929	255701
Flavobacteriales	200644	5.6	330835	229476
Bacillales_D	1385	5.26	252487	215543
Propionibacteriales	85009	4.550000000000001	176085	186449
Staphylococcales	1385	1.9700000000000002	86040	80726
Campylobacterales	213849	0.72	22949	29504
Veillonellales	1843489	0.22999999999999998	5492	9425
Oscillospirales	186802	0.09	4448	3688
Peptostreptococcales	186802	0.09	2499	3688
Lachnospirales	186802	0.06	3366	2460
Burkholderiales	80840	0.04	1646	1639
Verrucomicrobiales	48461	0.02	941	820
Methanobacteriales	2158	0.02	785	820
Peptococcales	186802	0.01	519	410
