Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillales	186826	71.05999999999999	1278960	1348789
Flavobacteriales	200644	12.14	283918	230429
Bacillales_D	1385	11.56	220152	219420
Mycobacteriales	85010	2.51	46427	47643
Staphylococcales	1385	0.88	15388	16704
Burkholderiales	80840	0.4	16919	7593
Propionibacteriales	85009	0.35	6356	6643
Tissierellales	1737405	0.32	4222	6075
Rhizobiales	356	0.26	13165	4935
Actinomycetales	2037	0.23	4889	4366
Veillonellales	1843489	0.11	1532	2088
Pseudomonadales	72274	0.06	2684	1139
Xanthomonadales	135614	0.05	1747	949
Bacteroidales	171549	0.04	935	759
Deinococcales	118964	0.03	659	569
Coriobacteriales	84999	0.01	145	190
