Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Bacillales	1385	88632.71	49.03499999999999	183359
Corynebacteriales	85007	26833.55	14.844999999999999	901419
Propionibacteriales	85009	25601.22	14.161999999999999	7271
Micrococcales	85006	24978.510000000002	13.817999999999994	150141
Pseudomonadales	72274	8020.380000000001	4.436	11001
Pseudonocardiales	85010	3190.56	1.765	15399
Lactobacillales	186826	1093.52	0.605	11322
Rhodospirillales	204441	574.58	0.318	7301
Bacteroidales	171549	389.59	0.216	11253
Tissierellales	1737405	257.04	0.14200000000000002	87
Veillonellales	1843489	239.63	0.133	38
Rhodobacterales	204455	236.86	0.131	7140
Actinomycetales	2037	222.07	0.123	3607
Alteromonadales	135622	214.82	0.11900000000000001	175
Burkholderiales	80840	196.42000000000002	0.108	3090
Clostridiales	186802	82.13	0.045	10
