Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillales	186826	57.230000000000004	2111875	2299590
Tissierellales	1737405	16.209999999999994	568063	651339
Actinomycetales	2037	7.489999999999999	302411	300959
Mycobacteriales	85010	6.170000000000001	302772	247920
Staphylococcales	1385	6.010000000000001	259070	241493
Rhizobiales	356	1.6500000000000004	256781	66300
Campylobacterales	213849	1.65	52212	66299
Propionibacteriales	85009	1.6499999999999997	64159	66300
Bacillales_D	1385	0.67	32291	26922
Flavobacteriales	200644	0.61	36323	24511
Veillonellales	1843489	0.37	9019	14867
Burkholderiales	80840	0.11	13503	4419
Bacteroidales	171549	0.060000000000000005	2977	2411
Pseudomonadales	72274	0.03	3421	1205
Coriobacteriales	84999	0.03	803	1205
Enterobacterales	91347	0.02	2104	804
Peptococcales	186802	0.01	371	402
