Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Pseudomonadales	72274	32566.47	51.591	354449
Lactobacillales	186826	9626.59	15.25	117657
Micrococcales	85006	7294.660000000001	11.556	12960
Bacillales	1385	6005.62	9.514000000000001	31206
Corynebacteriales	85007	3998.36	6.3340000000000005	32805
Aeromonadales	135624	1520.94	2.409	1579
Tissierellales	1737405	490.09	0.776	1956
Propionibacteriales	85009	301.79	0.47800000000000004	52
Flavobacteriales	200644	250.68	0.39699999999999996	4909
Enterobacterales	91347	197.68	0.314	2778
Burkholderiales	80840	177.38	0.281	1936
Veillonellales	1843489	132.57	0.21	126
Actinomycetales	2037	123.68	0.196	2563
Oceanospirillales	135619	94	0.149	16
Clostridiales	186802	90.33	0.14300000000000002	317
Caulobacterales	204458	88.1	0.13999999999999999	26
Alteromonadales	135622	85.97	0.136	919
Neisseriales	206351	79.68	0.126	32
