Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Human immunodeficiency virus 1	11676	4702.57	46.239000000000004	0.056985	0.056985	4961
Merkel cell polyomavirus	493803	2749.29	27.033	0.359877	0.362542	1223
Equine infectious anemia virus	11665	1640.92	16.134999999999998	0.018813	0.018813	4486
Escherichia virus P1	10678	193.73	1.905	0.015266	0.015266	2817
Acinetobacter phage Acj61	760732	153.04	1.505	0.019959	0.020132	1459
Staphylococcus phage 47	320839	142.61	1.402	0.034364	0.025758	20
Staphylococcus phage Ipla5	1197952	123.15	1.2109999999999999	0.010779	0.020485	138
Escherichia virus HK022	10742	118.7	1.167	0.042985	0.02021	209
Staphylococcus phage StB12	1147042	109.23	1.0739999999999998	0.018299	0.016696	493
Staphylococcus phage StB20	1147043	99.1	0.9740000000000001	0.0161	0.016264	344
unclassified Picovirinae	1162303	81.83	0.8049999999999999	0.021478	0.021478	25
Enterobacteria phage YYZ-2008	564886	56.06	0.551	0.015482	0.011736	95
