Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Escherichia coli GCA_003812625.1	562	GCA_003812625.1	Bacteria	97.03	0.84466	0.910043	39765228	39231683
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	1.15	0.999761	0.999761	304495	464974
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	0.9000000000000001	0.661297	0.65946	194986	363893
s__Streptococcus anginosus GCA_001835965.1	1715209	GCA_001835965.1	Bacteria	0.32	0.777073	0.408497	54523	129384
s__Varibaculum massiliense GCA_900106855.1	1852372	GCA_900106855.1	Bacteria	0.29	0.429534	0.422315	55670	117254
s__Lactobacillus paragasseri GCA_014269295.2	2107999	GCA_014269295.2	Bacteria	0.06	0.533269	0.407051	8807	24260
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.04	0.051989	0.014618	9109	16173
s__Prevotella buccalis GCA_000177075.1	679190	GCA_000177075.1	Bacteria	0.03	0.182182	0.130166	6992	12130
s__Anaerococcus sp900258475 GCA_900258475.1	2057799	GCA_900258475.1	Bacteria	0.03	0.296275	0.296701	5996	12130
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.02	0.178362	0.157795	2455	8087
s__Prevotella bergensis GCA_000160535.1	585502	GCA_000160535.1	Bacteria	0.01	0.032267	0.02893	1632	4043
s__Prevotella sp900547085 GCA_900547085.1	159272	GCA_900547085.1	Bacteria	0.01	0.145071	0.07565	2254	4043
s__Prevotella sp000479005 GCA_000479005.1	1111130	GCA_000479005.1	Bacteria	0.01	0.095471	0.043097	2811	4043
s__Porphyromonas_A somerae GCA_000372405.1	1122975	GCA_000372405.1	Bacteria	0.01	0.064704	0.044863	2623	4043
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.01	0.030974	0.009549	2041	4043
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	Bacteria	0.01	0.022857	0.010906	1664	4043
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.01	0.117912	0.09929	1874	4043
s__Finegoldia magna_H GCA_000582635.1	1459804	GCA_000582635.1	Bacteria	0.01	0.088082	0.04234	2061	4043
s__Peptoniphilus_B duerdenii GCA_000478945.1	1111133	GCA_000478945.1	Bacteria	0.01	0.176717	0.128741	2249	4043
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.01	0.092742	0.044743	1499	4043
s__Fenollaria massiliensis GCA_001811395.1	1739304	GCA_001811395.1	Bacteria	0.01	0.099557	0.056436	2061	4043
s__Urinicoccus massiliensis GCA_900120405.1	1723382	GCA_900120405.1	Bacteria	0.01	0.039138	0.037475	1499	4043
