Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
JC polyomavirus	10632	GCF_000863805.1	Viruses	41.48	0.579346	0.578357	15117	449967
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	18.04	0.999761	0.999761	393055	195694
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	16.27	0.661256	0.659416	288402	176494
s__Streptococcus agalactiae GCA_000311525.1	1105255	GCA_000311525.1	Bacteria	8.05	0.890399	0.151079	120668	87325
s__Corynebacterium striatum GCA_000159135.1	525268	GCA_000159135.1	Bacteria	7.109999999999999	0.603412	0.599625	133929	77128
s__Streptococcus anginosus GCA_000508545.1	1403946	GCA_000508545.1	Bacteria	1.69	0.711536	0.128755	23631	18333
s__Staphylococcus haemolyticus GCA_000261465.1	1134914	GCA_000261465.1	Bacteria	0.96	0.577305	0.334112	15178	10414
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.5	0.051909	0.014533	8868	5424
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	Bacteria	0.42	0.302157	0.099439	5236	4556
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	Bacteria	0.4	0.176759	0.109903	7029	4339
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	0.38	0.196327	0.196663	5352	4122
s__Corynebacterium simulans GCA_001586215.1	146827	GCA_001586215.1	Bacteria	0.38	0.069775	0.020674	7170	4122
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	Bacteria	0.37	0.180049	0.111629	6143	4014
s__Lactobacillus iners GCA_002871595.1	147802	GCA_002871595.1	Bacteria	0.31	0.352892	0.045307	2785	3363
s__Atopobium deltae GCA_001552785.1	1393034	GCA_001552785.1	Bacteria	0.29	0.16074	0.160717	2937	3146
s__Staphylococcus epidermidis	1282		Bacteria	0.28	0.274761	0.033708	4642	3037
s__Veillonella montpellierensis GCA_000759285.1	1401067	GCA_000759285.1	Bacteria	0.28	0.179654	0.106075	3913	3037
s__Staphylococcus aureus	1280		Bacteria	0.24	0.134328	0.134328	3746	2603
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.19	0.14231	0.141755	2742	2061
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.18	0.215613	0.198244	2291	1953
Human gammaherpesvirus 4	10376	GCF_002402265.1	Viruses	0.18	0.520824	0.344801	2184	1953
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	Bacteria	0.15	0.107467	0.044001	1928	1627
s__Bifidobacterium piotii GCA_002884815.1	33031	GCA_002884815.1	Bacteria	0.15	0.069129	0.017789	1736	1627
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	Bacteria	0.14	0.073536	0.031291	2013	1519
s__Ureaplasma urealyticum GCA_000255415.2	1161916	GCA_000255415.2	Bacteria	0.13	0.150025	0.031579	781	1410
g__Corynebacterium	1716		Bacteria	0.13	0.100122	0.034115	2142	1410
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	Bacteria	0.12	0.088566	0.037589	1561	1302
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	Bacteria	0.11	0.064438	0.064522	1383	1193
s__Aerococcus christensenii GCA_001543105.1	87541	GCA_001543105.1	Bacteria	0.1	0.073601	0.073601	1122	1085
s__Winkia sp002849225 GCA_002872055.1	2069311	GCA_002872055.1	Bacteria	0.1	0.064895	0.028594	1592	1085
s__Corynebacterium aurimucosum_F GCA_000022905.1	548476	GCA_000022905.1	Bacteria	0.1	0.029875	0.025893	1892	1085
s__Dermabacter hominis	36740		Bacteria	0.08	0.058573	0.017595	1278	868
s__Staphylococcus borealis GCA_001921685.1	1280	GCA_001921685.1	Bacteria	0.06	0.023891	0.013432	1110	651
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	0.06	0.037677	0.026831	1265	651
s__Cutibacterium avidum	33010		Bacteria	0.06	0.038652	0.026327	1140	651
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	Bacteria	0.05	0.033416	0.033443	681	542
s__Cutibacterium acnes GCA_000709495.1	1276648	GCA_000709495.1	Bacteria	0.05	0.028097	0.015823	904	542
s__Akkermansia sp004167605	818		Bacteria	0.05	0.112994	0.085366	1119	542
s__Anaerococcus jeddahensis GCA_001182725.1	1673719	GCA_001182725.1	Bacteria	0.04	0.047279	0.04234	477	434
s__Prevotella timonensis_A GCA_000762405.1	1401062	GCA_000762405.1	Bacteria	0.04	0.029448	0.017478	887	434
s__Prevotella bivia GCA_000262545.1	868129	GCA_000262545.1	Bacteria	0.04	0.028546	0.0284	777	434
s__Pauljensenia turicensis GCA_000296505.1	883077	GCA_000296505.1	Bacteria	0.04	0.018753	0.018781	493	434
g__Peptoniphilus_A	162289		Bacteria	0.03	0.255	0.136364	428	325
g__Anaerococcus	165779		Bacteria	0.02	0.040234	0.039216	278	217
s__Parvimonas parva GCA_001553085.1	1588755	GCA_001553085.1	Bacteria	0.02	0.0319	0.032167	191	217
s__Prevotella disiens GCA_000613345.1	1235811	GCA_000613345.1	Bacteria	0.02	0.013328	0.013085	337	217
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	Bacteria	0.02	0.011846	0.010893	308	217
s__Gemella asaccharolytica GCA_001553005.1	502393	GCA_001553005.1	Bacteria	0.01	0.040021	0.040021	103	108
g__Anaerostipes	207244		Bacteria	0.01	0.019826	0.019563	185	108
s__Blautia_A wexlerae	40520		Bacteria	0.01	0.027972	0.027972	370	108
s__Anaerococcus hydrogenalis GCA_000191745.2	879306	GCA_000191745.2	Bacteria	0.01	0.045612	0.029672	179	108
s__Pauljensenia radingae_A	1673722		Bacteria	0.01	0.007797	0.007797	238	108
s__Actinomyces urogenitalis	103621		Bacteria	0.01	0.007553	0.007553	135	108
s__Ralstonia pickettii_B	329		Bacteria	0.01	0.007987	0.007454	452	108
s__Dialister micraerophilus GCA_000194985.1	888062	GCA_000194985.1	Bacteria	0.01	0.014559	0.016127	103	108
s__Methanobrevibacter_A smithii_A	2173		Bacteria	0.01	0.035123	0.025554	103	108
s__Methanosphaera stadtmanae GCA_000012545.1	339860	GCA_000012545.1	Bacteria	0.01	0.018519	0.018519	72	108
