Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus capitis	29388	113802.85	30.580000000000002	107545
Staphylococcus epidermidis	1282	74220.82	19.944	20003
Corynebacterium sp. KPL1857	1203564	63070.68	16.948	1037
Corynebacterium tuberculostearicum	38304	50422.04	13.549	896080
Corynebacterium pseudogenitalium	38303	47143.58	12.668	925886
Corynebacterium accolens	38284	6440.65	1.7309999999999999	9489
Staphylococcus sp. TE8	1472720	4143.54	1.113	6225
Cutibacterium acnes	1747	3196.26	0.859	64
Propionibacterium sp. 5_U_42AFAA	450748	3171	0.852	86
Propionibacterium acidifaciens	556499	1416.76	0.381	8991
Staphylococcus hominis	1290	878.87	0.23600000000000002	451
Brochothrix thermosphacta	2756	484.46	0.13	9044
Actinomyces naeslundii	1655	459.3	0.123	8291
Micrococcus luteus	1270	384.51	0.10300000000000001	377
Staphylococcus_u_s	1279	374.74	0.101	618
Leuconostoc carnosum	1252	276.11	0.074	2039
Actinomyces oris	544580	259.11	0.06999999999999999	3419
Corynebacterium matruchotii	43768	214.32	0.058	2447
Actinomyces massiliensis	461393	165.36	0.044000000000000004	1259
Neisseriaceae_u_s	481	129.12	0.034999999999999996	15
Kocuria rhizophila	72000	120.65	0.032	1319
Rothia mucilaginosa	43675	108.61	0.029	539
Actinomyces sp. oral taxon 180	651609	108.48	0.029	2361
Corynebacterium ihumii	1232427	104.78	0.027999999999999997	3002
Lactobacillus_u_s	1578	99.89	0.027	7
Cutibacterium granulosum	33011	101.18	0.027	640
Staphylococcus xylosus	1288	94.9	0.026	714
Corynebacterium striatum	43770	96.25	0.026	8553
Rothia_u_s	32207	94.69	0.025	668
Neisseria flavescens	484	93.4	0.025	116
Actinomyces dentalis	272548	85.05	0.023	1785
Prevotella_u_s	838	82.26	0.022000000000000002	152
Streptococcus_u_s	1301	78.44	0.021	35
Veillonella_u_s	29465	78.12	0.021	12
Corynebacterium aurimucosum	169292	75.84	0.02	6569
Corynebacterium singulare	161899	75.07	0.02	7658
