Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium longum	216816		Bacteria	67.03	1	1	2621871	2663830
s__Streptococcus anginosus GCA_001838575.1	1715113	GCA_001838575.1	Bacteria	11.19	0.82449	0.051668	348773	444700
s__Actinotignum timonense GCA_002860685.1	1870995	GCA_002860685.1	Bacteria	7.23	0.852725	0.832378	274195	287326
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	Bacteria	4.41	0.642612	0.641382	198173	175257
s__Winkia sp002849225 GCA_002872055.1	2069311	GCA_002872055.1	Bacteria	3.42	0.971981	0.9706	124264	135914
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	1.03	0.613581	0.611616	43202	40933
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	1.02	0.925398	0.925398	52792	40536
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	Bacteria	0.57	0.364829	0.301719	72178	22652
Melampsora pinitorqua Mpini7	1298852	GCA_000464645.1	Fungi	0.4	0.015931	0.016224	15493	15896
s__Finegoldia magna_H GCA_000010185.1	334413	GCA_000010185.1	Bacteria	0.4	0.408759	0.143704	11767	15896
s__Actinotignum schaalii	59505		Bacteria	0.39	0.079245	0.037403	14050	15499
s__Scardovia wiggsiae GCA_000269605.1	857290	GCA_000269605.1	Bacteria	0.24	0.264261	0.263433	6328	9538
s__Bradyrhizobium viridifuturi GCA_002289535.1	418599	GCA_002289535.1	Bacteria	0.22	0.05931	0.012624	31922	8743
s__Staphylococcus haemolyticus GCA_001922505.1	1663564	GCA_001922505.1	Bacteria	0.18	0.313342	0.177093	6717	7153
s__Corynebacterium glucuronolyticum GCA_001815555.1	1739536	GCA_001815555.1	Bacteria	0.17	0.041499	0.031123	7803	6756
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.16	0.101002	0.028636	5385	6359
