Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus epidermidis	1282	5703.86	27.737000000000002	14
Staphylococcus lugdunensis	28035	3192.98	15.527	3247
Staphylococcus pasteuri	45972	3043.23	14.799000000000001	31282
Staphylococcus haemolyticus	1283	2145.97	10.435	823
Staphylococcus aureus	1280	2108.42	10.253	140
Staphylococcus warneri	1292	1998.38	9.718	8
Corynebacterium pseudogenitalium	38303	730.64	3.553	5106
Corynebacterium tuberculostearicum	38304	719.25	3.4979999999999998	4315
Actinomyces neuii	33007	510.22	2.481	9428
Corynebacterium kroppenstedtii	161879	188.98	0.919	4536
Propionibacteriaceae_u_s	31957	141.77	0.6890000000000001	6
Bacillus_u_s	1386	80.59	0.392	13
