Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcales	85006	36980.27	33.76299999999999	1414328
Corynebacteriales	85007	23233.38	21.209	925237
Bacillales	1385	16718.86	15.263000000000002	31571
Burkholderiales	80840	13878.67	12.671	49258
Propionibacteriales	85009	4626.639999999999	4.224000000000001	1531
Pseudomonadales	72274	2332.18	2.13	5102
Rhodospirillales	204441	2147	1.96	24779
Tissierellales	1737405	1631.4900000000002	1.4889999999999999	5731
Lactobacillales	186826	1577.8700000000001	1.44	4195
Actinomycetales	2037	1461.23	1.3330000000000002	19041
Bifidobacteriales	85004	1412.54	1.29	1809
Enterobacterales	91347	1068.6699999999998	0.976	341
Bacteroidales	171549	664.1999999999999	0.607	5226
Rhizobiales	356	517.05	0.472	6435
Veillonellales	1843489	287.78999999999996	0.262	108
Clostridiales	186802	264.47	0.241	6
Pasteurellales	135625	165.13	0.151	372
Xanthomonadales	135614	149.49	0.136	838
Neisseriales	206351	140.22	0.128	13
Rhodobacterales	204455	106.42	0.097	416
Alteromonadales	135622	93.68	0.086	100
Caulobacterales	204458	77.04	0.06999999999999999	539
