Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Bacillales	1385	34974.69	45.791	11636
Corynebacteriales	85007	22170.600000000002	29.027	62376
Pasteurellales	135625	6978.28	9.136	117019
Propionibacteriales	85009	5487.47	7.185	22195
Lactobacillales	186826	2929.05	3.8350000000000004	236
Tissierellales	1737405	2690.79	3.523	24293
Fusobacteriales	203491	462.76	0.606	1212
Micrococcales	85006	295.69	0.387	459
Clostridiales	186802	215.75	0.28200000000000003	1629
Bacteroidales	171549	173.05	0.22699999999999998	81
