Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390920		-	47329.84	22.788	0.917197	0.917197	4608
Staphylococcus aureus GENE dfrA		-	31569.48	15.2	0.755365	0.755365	4434
Staphylococcus aureus GENE thyA		-	31317.86	15.079	0.906489	0.906489	8531
Staphylococcus epidermidis GeneID SEA1545		-	29677.59	14.289	0.869369	0.869369	3893
Staphylococcus aureus GENE qacC		-	22199.99	10.689	1	1	1931
Staphylococcus aureus GI 33390919		-	19668.74	9.47	1	1	2039
Staphylococcus aureus GENE blaZ		-	7517.05	3.6189999999999998	0.466523	0.466523	1811
Staphylococcus lentus GENE repL		-	6287.9	3.0269999999999997	0.837963	0.837963	468
Proteus mirabilis GENE tnpA		-	4841.15	2.331	1	1	57
Escherichia coli GENE aphA7		-	3700.68	1.7819999999999998	0.571875	0.571875	329
Staphylococcus lentus GENE ermC		-	2425.08	1.168	0.405405	0.405405	228
Staphylococcus lentus GI 60416748		-	1160.62	0.559	0.5	0.5	9
