Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium swidsinskii GCA_002884855.1	2702	GCA_002884855.1	Bacteria	68.56	0.837631	0.510534	569902	657601
s__Lactobacillus gasseri GCA_002940965.1	1596	GCA_002940965.1	Bacteria	4.18	0.957549	0.898964	41105	40093
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	Bacteria	2.72	0.577553	0.201173	26432	26089
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	2.29	0.573471	0.571463	31606	21965
s__Fannyhessea vaginae GCA_000159235.2	525256	GCA_000159235.2	Bacteria	2.26	0.398747	0.398005	17832	21677
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	2.2	0.861424	0.861424	37401	21102
s__Prevotella bivia GCA_000262545.1	868129	GCA_000262545.1	Bacteria	1.9799999999999998	0.59865	0.602348	27109	18991
s__Winkia sp002849225 GCA_000296485.1	888439	GCA_000296485.1	Bacteria	1.67	0.566045	0.315136	19671	16018
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	Bacteria	1.33	0.426581	0.223042	13112	12757
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	Bacteria	1.09	0.371834	0.25214	15096	10455
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	Bacteria	1.02	0.369738	0.241885	13160	9783
s__Anaerococcus hydrogenalis GCA_000191745.2	879306	GCA_000191745.2	Bacteria	0.96	0.519019	0.386778	9860	9208
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.8500000000000001	0.442198	0.400044	8339	8153
s__Finegoldia magna_F GCA_000159695.1	525282	GCA_000159695.1	Bacteria	0.7	0.306021	0.166844	7167	6714
s__Escherichia coli GCA_016944675.1	562	GCA_016944675.1	Bacteria	0.65	0.169873	0.133408	18011	6235
s__Staphylococcus epidermidis	1282		Bacteria	0.54	0.352682	0.068493	7086	5179
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	Bacteria	0.48	0.272719	0.25127	4841	4604
s__Negativicoccus succinicivorans GCA_000508525.1	1403945	GCA_000508525.1	Bacteria	0.37	0.163195	0.163195	2601	3549
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	0.36	0.185594	0.185575	3935	3453
s__Staphylococcus hominis GCA_001809865.1	1715156	GCA_001809865.1	Bacteria	0.32	0.213975	0.044655	3585	3069
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	Bacteria	0.3	0.0865	0.110037	12420	2877
Melampsora pinitorqua Mpini7	1298852	GCA_000464645.1	Fungi	0.25	0.011116	0.011438	3162	2398
s__Pauljensenia turicensis GCA_000296505.1	883077	GCA_000296505.1	Bacteria	0.25	0.106658	0.106683	2647	2398
s__Anaerococcus senegalensis GCA_000321005.2	1033733	GCA_000321005.2	Bacteria	0.25	0.24234	0.209203	2401	2398
s__Anaerococcus vaginimassiliensis GCA_000191725.2	879305	GCA_000191725.2	Bacteria	0.25	0.196122	0.132487	2255	2398
s__Enterococcus faecalis	1351		Bacteria	0.24	0.146164	0.235294	3399	2302
s__Staphylococcus haemolyticus GCA_000261465.1	1134914	GCA_000261465.1	Bacteria	0.22999999999999998	0.163361	0.084112	2833	2206
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	Bacteria	0.19	0.078	0.077875	2815	1822
s__Veillonella atypica	39777		Bacteria	0.19	0.129412	0.033149	2250	1822
s__Limosilactobacillus coleohominis_A GCA_000161935.1	575594	GCA_000161935.1	Bacteria	0.18	0.100273	0.097022	1672	1726
s__Streptococcus sp019448285 GCA_000506725.1	1415765	GCA_000506725.1	Bacteria	0.18	0.04062	0.026193	1981	1726
s__Streptococcus mitis_AV GCA_000722775.1	28037	GCA_000722775.1	Bacteria	0.18	0.03632	0.025311	2074	1726
s__Streptococcus mitis_H GCA_000148525.2	585203	GCA_000148525.2	Bacteria	0.18	0.026149	0.01907	1921	1726
s__Peptoniphilus_A vaginalis GCA_900176605.1	1756987	GCA_900176605.1	Bacteria	0.17	0.102102	0.025793	1748	1631
s__Streptococcus mitis_I GCA_000257865.1	1095736	GCA_000257865.1	Bacteria	0.16	0.044417	0.032359	1762	1535
s__Varibaculum cambriense_A GCA_000508625.1	1403948	GCA_000508625.1	Bacteria	0.13	0.067924	0.066209	1658	1247
s__Bradyrhizobium viridifuturi GCA_002289535.1	418599	GCA_002289535.1	Bacteria	0.13	0.028821	0.009249	6342	1247
s__Veillonella nakazawae GCA_009710825.1	39778	GCA_009710825.1	Bacteria	0.13	0.059714	0.050248	1480	1247
s__Actinotignum sanguinis GCA_003957255.1	1445614	GCA_003957255.1	Bacteria	0.12	0.042825	0.035822	1319	1151
s__Corynebacterium simulans GCA_001586215.1	146827	GCA_001586215.1	Bacteria	0.12	0.053063	0.048994	1806	1151
s__Atopobium deltae GCA_001552785.1	1393034	GCA_001552785.1	Bacteria	0.12	0.054365	0.054403	957	1151
s__Streptococcus mitis_L GCA_000257905.1	1095737	GCA_000257905.1	Bacteria	0.12	0.014236	0.011144	1215	1151
s__Facklamia hominis GCA_000413455.1	883110	GCA_000413455.1	Bacteria	0.12	0.087829	0.043345	1247	1151
s__Anaerococcus jeddahensis GCA_001182725.1	1673719	GCA_001182725.1	Bacteria	0.12	0.020003	0.010476	1201	1151
s__Anaerococcus octavius GCA_002847745.1	54007	GCA_002847745.1	Bacteria	0.12	0.115859	0.112756	1246	1151
s__Klebsiella pneumoniae	573		Bacteria	0.12	0.080842	0.093458	2071	1151
s__Micrococcus luteus GCA_000632145.1	1270	GCA_000632145.1	Bacteria	0.1	0.042916	0.011499	1433	959
s__Bradyrhizobium elkanii	29448		Bacteria	0.08	0.048319	0.012467	3373	767
s__Cutibacterium avidum	33010		Bacteria	0.07	0.030878	0.039146	929	671
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.07	0.045355	0.012554	964	671
s__Anaerococcus prevotii GCA_000024105.1	525919	GCA_000024105.1	Bacteria	0.06	0.05815	0.039475	636	575
s__Anaerococcus marasmi GCA_900290195.1	2057797	GCA_900290195.1	Bacteria	0.06	0.044179	0.025172	661	575
s__Anaerococcus provencensis GCA_000312365.2	938293	GCA_000312365.2	Bacteria	0.06	0.023469	0.019593	760	575
Pseudoperonospora cubensis	143453	GCA_000252605.1	Protists	0.05	0.001322	0.001155	1091	480
s__Corynebacterium amycolatum GCA_001807105.1	1581103	GCA_001807105.1	Bacteria	0.05	0.024219	0.018295	676	480
s__Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	GCA_000378725.1	Bacteria	0.05	0.024038	0.036242	490	480
s__Winkia neuii GCA_001807285.1	1581120	GCA_001807285.1	Bacteria	0.04	0.035403	0.241857	527	384
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.04	0.031134	0.028211	474	384
s__Lawsonella clevelandensis GCA_001281505.1	1528099	GCA_001281505.1	Bacteria	0.03	0.011634	0.018881	359	288
s__Cutibacterium granulosum	33011		Bacteria	0.03	0.010005	0.009444	307	288
s__Peptoniphilus_A lacydonensis	1673725		Bacteria	0.03	0.015818	0.015818	304	288
s__Cutibacterium acnes	1747		Bacteria	0.02	0.020442	0.0172	269	192
s__Blautia_A wexlerae	40520		Bacteria	0.02	0.031469	0.031469	455	192
g__Bradyrhizobium	374		Bacteria	0.02	0.045767	0.045767	1163	192
s__Ralstonia pickettii_B	329		Bacteria	0.01	0.00834	0.007284	353	96
s__Afipia sp001425835 GCA_001425835.1	1736436	GCA_001425835.1	Bacteria	0.01	0.016489	0.014892	205	96
