Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium longum	216816	97.71	11911394	11960797
Allobacillus halotolerans	570278	0.43	55882	52637
Imtechella halotolerans	1165090	0.4099999999999999	65059	50189
Enterococcus faecalis	1351	0.39	55545	47740
Veillonella atypica	39777	0.36	37142	44068
Enterococcus_A raffinosus	71452	0.15	31239	18362
Staphylococcus epidermidis	1282	0.13	14904	15913
Propionimicrobium lymphophilum	33012	0.07	7259	8569
Actinobaculum massiliense	202789	0.05	4730	6121
Staphylococcus hominis	1290	0.04	4015	4896
Bradyrhizobium sp003020075	2057741	0.04	16432	4896
Allobacillus salarius	1955272	0.02	2013	2448
Haemophilus_D sp001679485	862965	0.02	2041	2448
Haemophilus_D parainfluenzae_L	862965	0.02	1697	2448
Haemophilus_D parainfluenzae_M	862965	0.02	2078	2448
Haemophilus_D sp001815355	862965	0.02	1629	2448
Bradyrhizobium viridifuturi	1654716	0.02	9919	2448
Varibaculum cambriense	184870	0.01	1272	1224
Cutibacterium avidum	33010	0.01	773	1224
Corynebacterium tuberculostearicum_C	38304	0.01	1229	1224
Corynebacterium tuberculostearicum	38304	0.01	812	1224
Klebsiella pneumoniae	573	0.01	2310	1224
Proteus mirabilis	584	0.01	1760	1224
Haemophilus_D parainfluenzae_A	729	0.01	1108	1224
Haemophilus_D parainfluenzae	729	0.01	790	1224
Haemophilus_D sp927911595	155900	0.01	1174	1224
Haemophilus_D sp015255025	888828	0.01	684	1224
Bradyrhizobium sp002532045	2057741	0.01	6229	1224
