Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage tp310-3	445517	1436.13	17.230999999999998	0.148538	0.174314	143
Staphylococcus phage phiBU01	1519999	1192.15	14.304	0.11118	0.327196	261
Staphylococcus phage 77	259901	877.53	10.529	0.066401	0.342909	154
Staphylococcus phage TEM123	1168613	849.71	10.195	0.030709	0.122086	84
Staphylococcus phage phiETA3	326037	817.41	9.807	0.046806	0.150036	158
Staphylococcus phage StauST398-5	1308897	672.19	8.065	0.201961	0.098025	220
Staphylococcus phage phiNM3	387909	562.01	6.743	0.01341	0.329725	21
Staphylococcus phage SA13	1195086	522.72	6.272	0.018428	0.08142	43
Staphylococcus phage 92	320849	466.38	5.596	0.014299	0.076305	15
Staphylococcus phage tp310-2	445516	447.75	5.372	0.120657	0.05386	1022
Staphylococcus phage 42E	320837	213.83	2.566	0.036924	0.033631	215
Staphylococcus phage Pvl108	360398	111.63	1.3390000000000002	0.031489	0.12761	60
Staphylococcus phage SMSAP5	1168612	93.8	1.125	0.015044	0.018237	17
Human papillomavirus type 10	333759	71.41	0.857	0.016478	0.016478	61
