Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcus anginosus GCA_001835835.1	1715122	34.14	108597	128743
Lactobacillus gasseri GCA_002287905.1	1380360	28.15	81040	106154
Allobacillus halotolerans GCA_007559355.1	1955271	11.64	45789	43895
Imtechella halotolerans GCA_000260835.1	946077	11.39	55071	42952
Escherichia coli GCA_002944935.1	562	2.56	18471	9654
Staphylococcus epidermidis	1282	2.47	8891	9314
Enterococcus faecalis	1351	2.08	8572	7844
Bradyrhizobium sp003020075 GCA_000465325.1	1230476	1.08	12657	4073
Bifidobacterium dentium GCA_002075955.1	1689	0.71	2869	2677
Cutibacterium acnes	1747	0.6	2313	2263
Actinobaculum massiliense GCA_000315465.1	883066	0.44	1393	1659
Bradyrhizobium viridifuturi GCA_002289535.1	418599	0.43	5865	1622
Comamonas tsuruhatensis	80866	0.38	3992	1433
Allobacillus salarius GCA_007559425.1	1955272	0.33	1316	1244
Blautia_A wexlerae GCA_000159975.2	457412	0.33	1999	1244
Bradyrhizobium elkanii	29448	0.28	3566	1056
Winkia sp002849225 GCA_002849225.1	2066054	0.27	943	1018
Blautia_A wexlerae	40520	0.22999999999999998	1382	867
Actinotignum sanguinis GCA_003957255.1	1445614	0.22999999999999998	716	867
Varibaculum massiliense GCA_900106855.1	1852372	0.21	727	792
Finegoldia magna GCA_009678325.1	2584649	0.2	562	754
Ralstonia pickettii_B GCA_000372665.1	1264675	0.2	1489	754
Facklamia hominis GCA_000413455.1	883110	0.16	449	603
Longicatena caecimuris	1796635	0.14	670	528
Finegoldia magna_F GCA_000159695.1	525282	0.14	411	528
Veillonella_u_t	29465	0.14	453	528
Agrobacterium oryzihabitans GCA_000219665.2	1050720	0.1	757	377
Methylobacterium thiocyanatum GCA_000019945.1	441620	0.1	876	377
Cutibacterium avidum GCA_000227295.1	997355	0.1	400	377
Lachnospira eligens_A GCA_009680455.1	39485	0.09	381	339
Bradyrhizobium_u_t	374	0.08	1147	302
Anaerobutyricum soehngenii GCA_900209925.1	39488	0.07	398	264
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.07	185	264
Bradyrhizobium japonicum_C	375	0.07	790	264
Corynebacterium_u_t	1716	0.06	262	226
Phascolarctobacterium faecium	33025	0.06	206	226
Ruminiclostridium_E siraeum	39492	0.05	237	189
Thomasclavelia ramosa	1547	0.04	201	151
Dysosmobacter welbionis	2093857	0.04	207	151
CAG-41 sp900066215	59620	0.04	201	151
Adlercreutzia_u_t	447020	0.04	170	151
Phyllobacterium_u_t	28100	0.03	258	113
Staphylococcus aureus GCA_018995745.1	1280	0.02	62	75
Afipia sp001425835 GCA_001425835.1	1736436	0.02	161	75
