Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StB20	1147043	5129.87	41.335	0.268508	0.267874	34350
Staphylococcus phage 6ec	1500386	2773.58	22.349	0.209234	0.348709	17943
Staphylococcus phage vB_SepS_SEP9	1434319	1594.84	12.851	0.117764	0.292995	12932
Staphylococcus phage CNPH82	398839	557.48	4.492	0.034011	0.047049	2826
Brochothrix phage BL3	764562	500.87	4.036	0.064185	0.064029	1690
Staphylococcus phage Ipla7	1197953	487.92	3.9309999999999996	0.052353	0.064603	655
Staphylococcus phage PH15	399185	464.34	3.7409999999999997	0.026428	0.053147	1052
Staphylococcus phage Ipla5	1197952	359.77	2.899	0.044365	0.045039	1242
Staphylococcus phage StB27	1147044	222.26	1.791	0.026045	0.025437	1365
Propionibacterium phage P105	1229788	106.19	0.856	0.013386	0.02243	47
Brochothrix phage A9	857312	95.44	0.769	0.013559	0.013559	891
Human immunodeficiency virus 1	11676	72.33	0.583	0.019608	0.019608	32
Equine infectious anemia virus	11665	45.69	0.368	0.010854	0.010854	53
