Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillaceae	33958	89.77	7564265	7732864
Flavobacteriaceae	49546	3.64	397431	313553
Alkalibacillaceae	186817	3.2800000000000002	291429	282542
Bifidobacteriaceae	31953	1.24	105333	106815
Actinomycetaceae	2049	0.32000000000000006	24214	27563
Peptoniphilaceae	1570339	0.22000000000000003	12657	18949
Mycobacteriaceae	1762	0.20999999999999996	16747	18090
Burkholderiaceae_B	80864	0.2	45962	17229
Burkholderiaceae	119060	0.18000000000000002	31521	15505
Xanthobacteraceae	335928	0.15	38834	12921
Atopobiaceae	1643824	0.1	5596	8614
Propionibacteriaceae	31957	0.08	7257	6891
Pseudomonadaceae	135621	0.07	15527	6030
Myxococcaceae	31	0.07	1994	6030
Enterococcaceae	81852	0.05	4266	4307
Micrococcaceae	1268	0.05	4126	4306
Rhizobiaceae	82115	0.05	9253	4307
Aerococcaceae	186827	0.04	2331	3445
Bacteroidaceae	815	0.04	4768	3446
Xanthomonadaceae	32033	0.04	6814	3446
Beijerinckiaceae	45404	0.04	8485	3446
Thermaceae	188786	0.04	4336	3445
Staphylococcaceae	90964	0.03	2770	2584
Dermatophilaceae	85018	0.02	1884	1723
Desulfovibrionaceae	194924	0.02	3383	1723
Streptococcaceae	1300	0.01	499	861
Alteromonadaceae	72275	0.01	797	861
Campylobacteraceae	72294	0.01	499	861
Dialisteraceae	31977	0.01	443	861
Megasphaeraceae	31977	0.01	665	861
