Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus capitis QN1	1189311	113802.85	30.580000000000002	107545
Staphylococcus epidermidis NIHLM001	979219	74220.82	19.944	20003
Corynebacterium sp. KPL1857_u_t	1203564	63070.68	16.948	1037
Corynebacterium tuberculostearicum SK141	553206	50422.04	13.549	896080
Corynebacterium pseudogenitalium ATCC 33035	525264	47143.58	12.668	925886
Corynebacterium accolens ATCC 49725	525260	6440.65	1.7309999999999999	9489
Staphylococcus sp. TE8_u_t	1472720	4143.54	1.113	6225
Propionibacterium acnes HL087PA2	765082	3196.26	0.859	64
Propionibacterium sp. 5_U_42AFAA_u_t	450748	3171	0.852	86
Propionibacterium acidifaciens DSM 21887	1122994	1416.76	0.381	8991
Staphylococcus hominis VCU122	904339	878.87	0.23600000000000002	451
Brochothrix thermosphacta DSM 20171 = FSL F6-1036	1121126	484.46	0.13	9044
Actinomyces naeslundii str. Howell 279	1115803	459.3	0.123	8291
Micrococcus luteus	1270	384.51	0.10300000000000001	377
Staphylococcus_u_t	1279	374.74	0.101	618
Leuconostoc carnosum JB16	1229758	276.11	0.074	2039
Actinomyces oris K20	871541	259.11	0.06999999999999999	3419
Corynebacterium matruchotii	43768	214.32	0.058	2447
Actinomyces massiliensis 4401292	1167628	165.36	0.044000000000000004	1259
Neisseriaceae_u_t	481	129.12	0.034999999999999996	15
Kocuria rhizophila	72000	120.65	0.032	1319
Rothia mucilaginosa	43675	108.61	0.029	539
Actinomyces sp. oral taxon 180 str. F0310	888052	108.48	0.029	2361
Corynebacterium ihumii	1232427	104.78	0.027999999999999997	3002
Lactobacillus_u_t	1578	99.89	0.027	7
Cutibacterium granulosum	33011	101.18	0.027	640
Staphylococcus xylosus	1288	94.9	0.026	714
Corynebacterium striatum ATCC 6940	525268	96.25	0.026	8553
Rothia_u_t	32207	94.69	0.025	668
Neisseria flavescens	484	93.4	0.025	116
Actinomyces dentalis DSM 19115	1120941	85.05	0.023	1785
Prevotella_u_t	838	82.26	0.022000000000000002	152
Streptococcus_u_t	1301	78.44	0.021	35
Veillonella_u_t	29465	78.12	0.021	12
Corynebacterium aurimucosum ATCC 700975	548476	75.84	0.02	6569
Corynebacterium singulare	161899	75.07	0.02	7658
