Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Human polyomavirus 7	746831	21281.76	75.371	0.772047	0.772047	21377
Pseudomonas phage phiCTX	35343	2412.41	8.544	0.247906	0.247906	5302
Pseudomonas phage F116	280701	2364.59	8.373999999999999	0.232388	0.227906	9148
Merkel cell polyomavirus	493803	1347.63	4.773000000000001	0.194487	0.194392	667
Streptococcus phage EJ-1	12402	168.06	0.5950000000000001	0.02434	0.024478	656
Phietavirus	1623298	146	0.517	0.013579	0.013579	46
Streptococcus phage 20617	1392231	145.27	0.514	0.01934	0.018408	826
Escherichia virus P1	10678	104.57	0.37	0.010441	0.010441	1412
Staphylococcus phage StB20	1147043	101.05	0.358	0.015864	0.015759	423
dsDNA viruses, no RNA stage	35237	73.7	0.261	0.02052	0.02052	19
Rhizobium phage RR1-B	929834	53.99	0.191	0.010211	0.010211	155
Human immunodeficiency virus 1	11676	36.88	0.131	0.011642	0.011642	19
